entrezgene,Gene symbol,description,num_trial,num_over,p-val,q_val,expression
113791,PIK3IP1,phosphoinositide-3-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24942],18,12,1.07E-10,1.14E-08,Overexpressed
6505,SLC1A1,solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939],20,12,6.42E-10,5.13E-08,Overexpressed
85236,HIST1H2BK,histone cluster 1 H2B family member k [Source:HGNC Symbol;Acc:HGNC:13954],18,11,2.58E-09,1.89E-07,Overexpressed
94241,TP53INP1,tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022],19,11,5.75E-09,2.16E-07,Overexpressed
3488,IGFBP5,insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474],19,11,5.75E-09,2.52E-07,Overexpressed
2537,IFI6,interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054],19,11,5.75E-09,3.03E-07,Overexpressed
64393,ZMAT3,zinc finger matrin-type 3 [Source:HGNC Symbol;Acc:HGNC:29983],20,11,1.20E-08,3.73E-07,Overexpressed
23710,GABARAPL1,GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068],19,11,5.75E-09,3.79E-07,Overexpressed
65018,PINK1,PTEN induced putative kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581],16,10,1.03E-08,3.88E-07,Overexpressed
51646,YPEL5,yippee like 5 [Source:HGNC Symbol;Acc:HGNC:18329],20,11,1.20E-08,4.15E-07,Overexpressed
5066,PAM,peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596],21,11,2.36E-08,6.61E-07,Overexpressed
3490,IGFBP7,insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476],21,11,2.36E-08,7.16E-07,Overexpressed
8365,HIST1H4H,histone cluster 1 H4 family member h [Source:HGNC Symbol;Acc:HGNC:4788],17,10,2.35E-08,7.77E-07,Overexpressed
84679,SLC9A7,solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123],18,10,4.97E-08,1.34E-06,Overexpressed
50484,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296],18,10,4.97E-08,1.43E-06,Overexpressed
439921,MXRA7,matrix remodeling associated 7 [Source:HGNC Symbol;Acc:HGNC:7541],18,10,4.97E-08,1.53E-06,Overexpressed
9076,CLDN1,claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032],19,10,9.86E-08,2.76E-06,Overexpressed
8334,HIST1H2AC,histone cluster 1 H2A family member c [Source:HGNC Symbol;Acc:HGNC:4733],19,10,9.86E-08,2.92E-06,Overexpressed
6303,SAT1,spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540],20,10,1.85E-07,4.89E-06,Overexpressed
5676,PSG7,pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:9524],9,7,1.98E-07,5.06E-06,Overexpressed
51449,PCYOX1,prenylcysteine oxidase 1 [Source:HGNC Symbol;Acc:HGNC:20588],20,10,1.85E-07,5.12E-06,Overexpressed
1026,CDKN1A,cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784],16,9,2.07E-07,5.14E-06,Overexpressed
3006,HIST1H1C,histone cluster 1 H1 family member c [Source:HGNC Symbol;Acc:HGNC:4716],20,10,1.85E-07,5.38E-06,Overexpressed
25891,PAMR1,peptidase domain containing associated with muscle regeneration 1 [Source:HGNC Symbol;Acc:HGNC:24554],20,10,1.85E-07,5.66E-06,Overexpressed
84168,ANTXR1,anthrax toxin receptor 1 [Source:HGNC Symbol;Acc:HGNC:21014],21,10,3.32E-07,7.60E-06,Overexpressed
6990,DYNLT3,dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694],21,10,3.32E-07,7.87E-06,Overexpressed
6678,SPARC,secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219],21,10,3.32E-07,8.16E-06,Overexpressed
2896,GRN,granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601],21,10,3.32E-07,8.48E-06,Overexpressed
11080,DNAJB4,DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886],21,10,3.32E-07,8.81E-06,Overexpressed
56204,FAM214A,family with sequence similarity 214 member A [Source:HGNC Symbol;Acc:HGNC:25609],17,9,4.13E-07,9.01E-06,Overexpressed
5672,PSG4,pregnancy specific beta-1-glycoprotein 4 [Source:HGNC Symbol;Acc:HGNC:9521],13,8,3.94E-07,9.06E-06,Overexpressed
151556,GPR155,G protein-coupled receptor 155 [Source:HGNC Symbol;Acc:HGNC:22951],17,9,4.13E-07,9.30E-06,Overexpressed
8347,HIST1H2BC,histone cluster 1 H2B family member c [Source:HGNC Symbol;Acc:HGNC:4757],18,9,7.77E-07,1.79E-05,Overexpressed
595,CCND1,cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582],18,9,7.77E-07,1.84E-05,Overexpressed
221468,TMEM217,transmembrane protein 217 [Source:HGNC Symbol;Acc:HGNC:21238],18,9,7.77E-07,1.90E-05,Overexpressed
8349,HIST2H2BE,histone cluster 2 H2B family member e [Source:HGNC Symbol;Acc:HGNC:4760],19,9,1.39E-06,2.96E-05,Overexpressed
5327,PLAT,"plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]",19,9,1.39E-06,3.03E-05,Overexpressed
51148,CERCAM,cerebral endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:23723],19,9,1.39E-06,3.11E-05,Overexpressed
4599,MX1,MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532],19,9,1.39E-06,3.19E-05,Overexpressed
28962,OSTM1,osteopetrosis associated transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:21652],19,9,1.39E-06,3.27E-05,Overexpressed
2621,GAS6,growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168],19,9,1.39E-06,3.35E-05,Overexpressed
11259,FILIP1L,filamin A interacting protein 1 like [Source:HGNC Symbol;Acc:HGNC:24589],19,9,1.39E-06,3.44E-05,Overexpressed
10346,TRIM22,tripartite motif containing 22 [Source:HGNC Symbol;Acc:HGNC:16379],19,9,1.39E-06,3.54E-05,Overexpressed
8605,PLA2G4C,phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037],15,8,1.74E-06,3.83E-05,Overexpressed
