	group	fc	deltaMean	pvalue	padj
0	THOC7	1.6797313042458832	0.20067186946108423	8.866824745748134e-37	2.3840799569185716e-35
1	COX5A	0.9569108222828943	-0.012720888080365145	0.520703440336477	0.5747432346518401
2	JAZF1	1.3096305222105995	0.0914098487830371	3.810034158330387e-15	1.6884095816452992e-14
3	ZFR	0.9962749157803776	-0.0010997280978267132	0.8087762095771726	0.8400179989228186
4	RFC2	1.8674740371325789	0.25609771927964414	7.290313799686125e-28	1.0262188778028763e-26
5	GTF2E1	1.7071639524147757	0.20877060017707977	8.954780427243843e-15	3.854098842157287e-14
6	PDRG1	1.7089566743647817	0.2092998517547024	5.45129686172239e-10	1.4994199298967448e-09
7	COQ5	0.9724924328473445	-0.008120848474050701	0.4213075326835717	0.4748888015599562
8	LAS1L	2.0677561144171315	0.3152254637533664	1.4870395503022459e-22	1.3792580015012692e-21
9	FDPS	1.0081669447220647	0.0024110645705515688	0.9646717971009243	0.9707567747950008
10	TBL3	2.1544725594977487	0.34082609600121144	4.00641536981979e-07	8.236556683830547e-07
11	METTL21A	0.9439017817215842	-0.016561447538237073	0.019640662478920237	0.026918731564751507
12	FBRSL1	1.4241776578022751	0.12522672274045432	1.2230473486669497e-09	3.2268492892613126e-09
13	CHMP6	1.7462021206447411	0.22029553973791788	1.1728816729730314e-31	2.1590044949418954e-30
14	SAP18	1.661174046912846	0.19519335243850505	7.595227232640936e-05	0.00012586827401461052
15	DYNC1I2	1.7297048357502642	0.21542517260883648	1.0294558783286565e-15	4.8685531953369075e-15
16	UBE2H	1.267660885257329	0.07901947415205024	1.867366080986086e-07	3.9580221716560704e-07
17	COG3	1.8971054167007806	0.26484556463488923	1.4519950199779946e-07	3.116254782786853e-07
18	EIF4B	1.138336260795501	0.04083995528039919	1.1412687060504318e-08	2.712071512987769e-08
19	HSF1	1.6637748000418855	0.1959611528754588	0.0003764527724112681	0.0005918866520237612
20	WDR1	1.6444720291084463	0.19026254357970224	3.4689876221384683e-07	7.187261800673034e-07
21	NOL11	2.1171534017366342	0.329808646741692	8.566340647053441e-16	4.083516567410136e-15
22	GEMIN7	1.4739263675385537	0.13991365347866935	0.012536490716429647	0.017472231965297697
23	TONSL	2.100790922216173	0.3249780771712167	8.853498438521051e-20	6.279941386545503e-19
24	TIMM22	1.8353249522034443	0.24660659104427468	1.5826741988456428e-14	6.575241940690319e-14
25	HIRA	1.2669507555975008	0.07880982800877662	3.3704604555176654e-15	1.5075723121595838e-14
26	PITRM1	1.2373012010051627	0.07005661698028959	7.590027478608177e-07	1.5110595471139242e-06
27	KAT5	1.1343655399070143	0.0396677097492259	0.03166268412648073	0.042423741945503024
28	MYCBP	1.6732150660963392	0.198748130355419	2.454673242856551e-05	4.241179112025795e-05
29	RNF103	1.2842888344057009	0.08392841628854569	1.606681756961072e-07	3.4359154999176454e-07
30	NAA20	1.1555303253897968	0.04591602734625749	0.0011487846651214019	0.0017387993065373275
31	DERL2	1.5997236790790703	0.17705183075891162	3.8162180067260954e-31	6.815081858280258e-30
32	PRC1	1.5104446720294822	0.15069467295793826	2.8458453355448753e-06	5.370747545708901e-06
33	PSMA7	2.3241949766768997	0.3909319459628811	3.1677156975992477e-12	1.058707215692039e-11
34	RNF4	1.2124278096059755	0.06271343604874519	0.007917117031542107	0.011250392551354075
35	TKT	0.998516307176512	-0.00043801927428610554	0.6304508950944367	0.6798868823618689
36	MTPAP	0.9729962016771311	-0.007972124658893132	0.5719927932384739	0.6250131297806703
37	DAP3	0.9718462023137727	-0.008311630167441408	0.7905799039314014	0.825759303801092
38	ENY2	1.1614593359646515	0.047666403750402375	0.02965459544736792	0.03986710500311878
39	NUP155	1.6221080181635925	0.1836601878298359	1.1002516214278418e-07	2.3870372892808935e-07
40	MRPS25	0.9100114061216223	-0.026566643688394898	0.008905299319343704	0.01262463345449614
41	ARID5B	0.8486199838206798	-0.04469076332957095	0.08740134628998478	0.11083806129938187
42	VPS25	1.1859716795070943	0.05490299528710019	0.0001868140794500366	0.00030124399738809814
43	OIP5	1.1541258805021168	0.04550140383339979	0.0038046137046148258	0.005565061488473887
44	PABPC1	1.4525783764912055	0.13361124950528958	3.3983653885710876e-14	1.3576441360351605e-13
45	REV3L	1.1291952035015866	0.03814131091230466	0.07385283372063103	0.09460911728772486
46	SEH1L	1.4659263440166137	0.13755186777621242	1.5939451416071959e-18	1.006414439014781e-17
47	NUS1	1.0956362218906628	0.028233949672637315	0.2987585459965624	0.34823633734523807
48	TMEM127	1.0499591742954362	0.014749064578863047	0.23872478294834776	0.2832267752084265
49	FDXR	0.9271241749711457	-0.02151457194292905	0.03583179400458169	0.04755711761118357
50	NUP85	1.907969811807767	0.26805297683301005	9.686798241462788e-33	1.9157444786628474e-31
51	NF1	1.1116496545926657	0.03296147282292872	0.03282328188259124	0.04385600979622604
52	WDR55	2.098241096250076	0.32422531157071993	4.592630713466133e-08	1.03583084800419e-07
53	NACA	2.3568324881956406	0.40056726864128794	3.596164040542557e-15	1.6055262218317796e-14
54	DYNLL1	1.3500235818828006	0.10333478257237688	5.290954771741175e-07	1.0720791506161415e-06
55	BAP1	1.4767391687680889	0.14074405525305794	1.5780875516032106e-18	9.9903796586944e-18
56	CHMP5	1.3908000516911843	0.11537290760113356	2.63393424043168e-06	5.00635793276649e-06
57	NDUFAB1	2.003481778586128	0.29625024362004243	3.199652659580837e-27	4.2070158320752434e-26
58	SPAG7	2.01548764411854	0.2997946433936565	1.104448896027899e-07	2.3918065232531786e-07
59	C17orf58	0.9611273797831261	-0.011476066088239256	0.05647404753770863	0.07336720725175719
60	CCNK	0.9636983189385709	-0.01071706740247741	0.16201296556556355	0.1988189879991762
61	UBQLN4	1.2320994560543237	0.06852094563894584	0.12808367864457643	0.1587282459847081
62	ZBTB4	1.2387523710996722	0.07048503481826796	0.0038998096773633422	0.005700821354875063
63	MCM3AP	1.595944074702168	0.1759360070924148	4.562312247552673e-18	2.7090851633730883e-17
64	TXNL4B	1.240431476463302	0.07098074424085449	7.953726397936797e-09	1.9167439345682533e-08
65	MPHOSPH10	2.068941809560722	0.3155755074538537	1.8389951883367217e-13	6.952157165386691e-13
66	MRPL24	0.982779616504312	-0.005083841993639426	0.40960265168098153	0.4634416763463777
67	RPL30	2.0309391001396437	0.30435625847050013	2.4096972549010154e-19	1.6475444374223227e-18
68	MAU2	1.764238014401433	0.2256201385830045	1.0031317161836377e-11	3.204932171999259e-11
69	RPL12	1.903671329291461	0.2667839687455425	1.9015156822599526e-32	3.6696185706839246e-31
70	MYC	1.348853905388779	0.1029894679351756	5.908830043353367e-09	1.4472702450096835e-08
71	LTBP4	1.1272084970037848	0.03755479076163032	0.011255846808657216	0.015733201759998084
72	NUP160	1.9743058701677902	0.2876368635256407	2.141717254440659e-30	3.609246049208801e-29
73	TAZ	1.130891668922697	0.03864214541176625	0.023564555558063454	0.03198524188907875
