"","id2","title","geo_accession","source_name","cell_line","population_doublings","time_point_day","PDL","sample","id","rep","strain","TP.num","pos","neg","percent"
"1","hTERT_TP2_1","RS_sc_hTert_t2_1","GSM5341090","WI-38","WI-38","51","TP2","htert_2",12,"htert_2_12","1","hTERT",2,15,302,0.047318612
"2","hTERT_TP7_1","RS_sc_hTert_t7_1","GSM5341094","WI-38","WI-38","109","TP7","htert_7",16,"htert_7_16","1","hTERT",7,1,250,0.003984064
"3","WT_TP2_1","RS_sc_PDL_25_1","GSM5341095","WI-38","WI-38","25","TP2","PDL_25",1,"PDL_25_1","1","WT",2,14,179,0.07253886
"4","WT_TP3_1","RS_sc_PDL_29_1","GSM5341096","WI-38","WI-38","29","TP3","PDL_29",2,"PDL_29_2","1","WT",3,24,152,0.136363636
"5","WT_TP3_2","RS_sc_PDL_29_2","GSM5341097","WI-38","WI-38","29","TP3","PDL_29",3,"PDL_29_3","2","WT",3,21,181,0.103960396
"6","WT_TP4_1","RS_sc_PDL_33_1","GSM5341098","WI-38","WI-38","33","TP4","PDL_33",4,"PDL_33_4","1","WT",4,38,151,0.201058201
"7","WT_TP4_2","RS_sc_PDL_33_2","GSM5341099","WI-38","WI-38","33","TP4","PDL_33",5,"PDL_33_5","2","WT",4,15,143,0.094936709
"8","WT_TP5_1","RS_sc_PDL_37_1","GSM5341100","WI-38","WI-38","37","TP5","PDL_37",6,"PDL_37_6","1","WT",5,68,81,0.456375839
"9","WT_TP5_2","RS_sc_PDL_37_2","GSM5341101","WI-38","WI-38","37","TP5","PDL_37",7,"PDL_37_7","2","WT",5,70,120,0.368421053
"10","WT_TP6_1","RS_sc_PDL_46_1","GSM5341102","WI-38","WI-38","46","TP6","PDL_46",8,"PDL_46_8","1","WT",6,33,217,0.132
"11","WT_TP6_2","RS_sc_PDL_46_2","GSM5341103","WI-38","WI-38","46","TP6","PDL_46",9,"PDL_46_9","2","WT",6,99,205,0.325657895
"12","WT_TP7_1","RS_sc_PDL_50_1","GSM5341104","WI-38","WI-38","50","TP7","PDL_50",10,"PDL_50_10","1","WT",7,269,14,0.950530035
"13","WT_TP7_2","RS_sc_PDL_50_2","GSM5341105","WI-38","WI-38","50","TP7","PDL_50",11,"PDL_50_11","2","WT",7,324,13,0.961424332
