Data_id,Study_name,Project_name,Sample_id,Sample_title,Cell_line_raw,Tissue_type,Cell_type_name,Cell_type,Cell_type_id,Stage,Treatment,Sene_type,Growth_arrest,SA-beta-gal,LMNB1,pRb/pRb,CCK-8,p16/p21/p53/p-p53,SASP,MKi67,BrdU/EdU_stain,SAHFs_stain,SASP_associated_genes
SRR14168770,GSE171663,PRJNA720431,GSM5229916,X2_Dox21d_S5,NA,Normal,Vascular smooth muscle cells,VSMC,VSMC,Sene,doxorubicin,CIS,1,1,0,0,0,1,0,0,1,0,0
SRR14168774,GSE171663,PRJNA720431,GSM5229920,X3_Dox21d_S11,NA,Normal,Vascular smooth muscle cells,VSMC,VSMC,Sene,doxorubicin,CIS,1,1,0,0,0,1,0,0,1,0,0
SRR14168778,GSE171663,PRJNA720431,GSM5229924,X4_Dox21d_S15,NA,Normal,Vascular smooth muscle cells,VSMC,VSMC,Sene,doxorubicin,CIS,1,1,0,0,0,1,0,0,1,0,0
SRR14168782,GSE171663,PRJNA720431,GSM5229928,X5_Dox21d_S8,NA,Normal,Vascular smooth muscle cells,VSMC,VSMC,Sene,doxorubicin,CIS,1,1,0,0,0,1,0,0,1,0,0
SRR14168768,GSE171663,PRJNA720431,GSM5229914,X2_Ctr_S2,NA,Normal,Vascular smooth muscle cells,VSMC,VSMC,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR14168772,GSE171663,PRJNA720431,GSM5229918,X3_Ctr_S7,NA,Normal,Vascular smooth muscle cells,VSMC,VSMC,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR14168776,GSE171663,PRJNA720431,GSM5229922,X4_Ctr_S13,NA,Normal,Vascular smooth muscle cells,VSMC,VSMC,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR14168780,GSE171663,PRJNA720431,GSM5229926,X5_Ctr_S1,NA,Normal,Vascular smooth muscle cells,VSMC,VSMC,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR11214366,GSE146197,PRJNA609692,GSM4368001,U1,U87,Tumor,Cell from malignant gliomas,U87,U87,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12740614,GSE158743,PRJNA666405,GSM4809439,C_01_7 days post IR,U2OS,Tumor,Osteosarcoma cells,U2OS,U2OS,Sene,7 days post IR,IRIS,0,1,0,0,0,1,0,0,1,0,0
