"","TCSER","hUSI","Group"
"GTEX-S4Q7-0003-SM-3NM8M",-0.865555467,0.363537438044111,"Blood"
"GTEX-QV31-1626-SM-2S1QC",0.075000036,0.692860629514336,"Blood Vessel"
"GTEX-13QIC-0011-R1a-SM-5O9CJ",0.129747417,0.746235460161763,"Brain"
"GTEX-ZPCL-0126-SM-4WWC8",0.037742475,0.691453759855564,"Thyroid"
"GTEX-S33H-1226-SM-4AD69",-0.014117001,0.5931052533007,"Pancreas"
"GTEX-X88G-0426-SM-47JZ5",0.090208755,0.747275889516027,"Blood Vessel"
"GTEX-ZAKK-0326-SM-5EGHA",0.304319185,0.746243897950339,"Muscle"
"GTEX-1399S-1726-SM-5L3DI",0.016588053,0.758893260923237,"Lung"
"GTEX-ZF29-0926-SM-4WKFZ",-0.510943414,0.581598889120897,"Skin"
"GTEX-13W3W-2626-SM-5SIA2",-0.012365729,0.614120076939393,"Muscle"
"GTEX-WQUQ-2526-SM-4MVNO",-0.190034844,0.605093967942516,"Colon"
"GTEX-P44H-0526-SM-2XCF1",-0.064450328,0.905848408779839,"Nerve"
"GTEX-11ONC-2326-SM-5HL6P",0.224711973,0.788466065501212,"Nerve"
"GTEX-TSE9-0126-SM-3DB83",-0.30841394,0.736384790878616,"Skin"
"GTEX-13O3P-0226-SM-5KM3Z",0.18130436,0.858250873905999,"Adipose Tissue"
"GTEX-VJYA-0005-SM-3P5ZD",0.113650138,0.535904513514996,"Blood"
"GTEX-PWCY-1326-SM-48TCU",-0.570054359,0.465050782334162,"Ovary"
"GTEX-POMQ-0006-SM-5SI7D",0.129222747,0.673901443581753,"Blood"
"GTEX-Y9LG-0426-SM-4VBRT",-0.115298736,0.728213534346673,"Thyroid"
"GTEX-147F4-1226-SM-5NQAY",0.148554305,0.810344293544729,"Heart"
"GTEX-QXCU-0626-SM-2TC69",0.231872087,0.807673065462885,"Lung"
"GTEX-1269C-2626-SM-5EQ5C",0.279006961,0.688306430969177,"Muscle"
"GTEX-12WSK-2326-SM-5GCOH",-0.185569534,0.551885409219491,"Skin"
"GTEX-P4PQ-0126-SM-2S1NM",-0.175225435,0.682530874717653,"Skin"
"GTEX-ZA64-1526-SM-5CVMD",0.052509452,0.804952208639799,"Breast"
"GTEX-1122O-0426-SM-5H12G",0.239034847,0.776458487873369,"Blood Vessel"
"GTEX-11EI6-0826-SM-5985V",0.537547865,0.881111832114527,"Lung"
"GTEX-11EI6-3126-SM-5H111",0.579802168,0.854557244979278,"Pituitary"
"GTEX-QV44-1726-SM-4R1KG",-0.589502535,0.340834431367729,"Testis"
"GTEX-14E7W-0526-SM-5S2W8",0.311679711,0.771508250451305,"Blood Vessel"
"GTEX-S341-0326-SM-2XCAU",-0.059699609,0.780635884668564,"Lung"
"GTEX-N7MS-2625-SM-3LK77",0.243906188,0.723689617796053,"Pituitary"
"GTEX-13O61-0326-SM-5KM2O",0.309080144,0.810984323905,"Blood Vessel"
"GTEX-REY6-0126-SM-48FDT",-0.491794206,0.274422070356327,"Testis"
"GTEX-13PL7-2726-SM-5L3GB",-0.04255818,0.674556294931702,"Vagina"
"GTEX-QV44-0526-SM-2S1RE",0.429383727,0.812107606483109,"Heart"
"GTEX-WY7C-0426-SM-3NB3C",-0.052548023,0.753017684587546,"Lung"
"GTEX-ZPCL-0004-SM-4WWD6",-1.095486445,0.121935570161783,"Blood"
"GTEX-X5EB-0326-SM-4QASF",0.127888609,0.830304760215878,"Blood Vessel"
"GTEX-11DXY-1526-SM-5H129",0.354516223,0.745195658470149,"Esophagus"
"GTEX-ZPIC-0005-SM-4WWEB",0.289611332,0.624809474009245,"Blood"
"GTEX-13G51-2126-SM-5IJD9",0.224516725,0.673566133162111,"Colon"
"GTEX-Y5V6-2826-SM-4VDSF",0.376800132,0.754495433983009,"Blood Vessel"
"GTEX-Y111-1826-SM-4SOIR",0.384471347,0.737016350630202,"Esophagus"
"GTEX-TMZS-0001-SM-3P61Q",-1.036704352,0.152668376750538,"Blood"
"GTEX-11XUK-1426-SM-5EQMG",-0.651650676,0.634985539154631,"Small Intestine"
"GTEX-WOFM-0526-SM-4OOS2",0.231131541,0.725798673198167,"Esophagus"
"GTEX-WHPG-0226-SM-3NMB9",0.041025033,0.745396104658884,"Thyroid"
"GTEX-13FTZ-2226-SM-5LZXI",0.386630114,0.69132292945469,"Muscle"
"GTEX-14AS3-1326-SM-5RQJE",-0.288263681,0.503723422412139,"Ovary"
"GTEX-1339X-0326-SM-5K7Z8",0.356146493,0.793365014011063,"Heart"
"GTEX-PLZ6-0126-SM-48TC6",-0.359171121,0.713038242535101,"Spleen"
"GTEX-11ONC-2826-SM-5P9GQ",0.444834969,0.826916289703153,"Pituitary"
"GTEX-1122O-1526-SM-5N9CL",-0.026115859,0.66078979251486,"Colon"
"GTEX-1497J-1226-SM-5Q5BL",0.307940122,0.808068022409235,"Heart"
"GTEX-13OW7-2726-SM-5L3HN",0.229041684,0.77599692879185,"Adrenal Gland"
"GTEX-QLQ7-0826-SM-447B3",-0.092561192,0.648480491914389,"Stomach"
"GTEX-XPVG-1026-SM-4B64Y",-0.041102305,0.767888236471273,"Lung"
"GTEX-WYBS-1026-SM-4ONCY",0.113190655,0.842105920579571,"Adipose Tissue"
"GTEX-ZPCL-1426-SM-57WEC",-0.488963806,0.591055494760342,"Esophagus"
"GTEX-Y114-2626-SM-4TT8Y",0.025964571,0.73594514617315,"Nerve"
"GTEX-ZZPU-0326-SM-5N9BJ",-0.292292376,0.686113273116037,"Adipose Tissue"
"GTEX-VJYA-0826-SM-4KL1M",0.002532555,0.655423383133317,"Pancreas"
"GTEX-ZPU1-2126-SM-57WED",-0.602118859,0.300104044515748,"Testis"
"GTEX-X585-0008-SM-46MU4",-0.075766366,0.784818416714688,"Skin"
"GTEX-12WSD-2826-SM-59HKT",-0.102902223,0.656777526660952,"Uterus"
"GTEX-NPJ7-0011-R6a-SM-2I3G7",0.252790011,0.847050450478188,"Brain"
"GTEX-WZTO-0626-SM-4PQYY",0.024261511,0.59464740458303,"Liver"
"GTEX-WHSB-0005-SM-3LK7C",0.212508681,0.655876561604654,"Blood"
"GTEX-Y9LG-0226-SM-4VBS4",0.098633448,0.814547898883632,"Blood Vessel"
"GTEX-13PVQ-0726-SM-5L3GI",0.193197085,0.799380570421129,"Thyroid"
"GTEX-OHPL-1626-SM-2HMIR",0.237758998,0.666457610944582,"Muscle"
"GTEX-POYW-0006-SM-2XCF4",-0.201681792,0.669873077493478,"Blood"
"GTEX-12WSN-2726-SM-5LZUK",0.159566113,0.650777946487704,"Blood Vessel"
"GTEX-12584-0926-SM-5FQTN",0.233443027,0.824903625729522,"Heart"
"GTEX-132AR-2426-SM-5IFFD",-0.488391099,0.59998863307292,"Stomach"
"GTEX-132Q8-3026-SM-5PNVG",0.279267522,0.814881095879827,"Brain"
"GTEX-RM2N-0626-SM-48FD6",0.431227743,0.756220220961959,"Esophagus"
"GTEX-ZYW4-1426-SM-5SIAX",0.185817302,0.768703768051437,"Esophagus"
"GTEX-ZT9X-1826-SM-57WDU",0.111037955,0.686279555909435,"Muscle"
"GTEX-UJMC-0526-SM-3GAE3",0.497358176,0.854218537582369,"Heart"
"GTEX-RU1J-0006-SM-2TF6M",0.116139308,0.674513157223793,"Blood"
"GTEX-Y114-1926-SM-4TT8J",0.031727285,0.677252902876814,"Vagina"
"GTEX-ZF3C-2026-SM-4WWB5",0.066234935,0.774280371891314,"Pancreas"
"GTEX-X4EP-2926-SM-3P5YQ",0.098661055,0.732855320656197,"Breast"
"GTEX-NPJ7-2726-SM-2I3FT",0.329752188,0.80341062930074,"Brain"
"GTEX-13OVJ-0011-R9b-SM-5L3GD",0.293021192,0.917776668162193,"Brain"
"GTEX-ZA64-2226-SM-5Q5A9",0.396602628,0.733187969121704,"Blood Vessel"
"GTEX-XUW1-1726-SM-4BOOZ",0.064641867,0.66246685814453,"Pancreas"
"GTEX-12BJ1-1426-SM-5BC5Q",-0.123147602,0.701428835532695,"Esophagus"
"GTEX-131XE-2026-SM-5LZW1",0.160454071,0.784775239667386,"Adipose Tissue"
"GTEX-111FC-0326-SM-5GZZ1",0.241479569,0.675340579446409,"Muscle"
"GTEX-XAJ8-1026-SM-47JY9",0.113159581,0.610628995148015,"Muscle"
"GTEX-XLM4-0011-R10A-SM-4AT5P",0.357317275,0.866349363302235,"Brain"
"GTEX-XMD2-0006-SM-4WWEG",0.036861633,0.526313590695811,"Blood"
"GTEX-13SLW-0226-SM-5S2NA",-0.028740773,0.861513186102892,"Adipose Tissue"
"GTEX-YBZK-0005-SM-59HKG",0.052890734,0.63912537124575,"Blood"
"GTEX-1399R-0126-SM-5IFEV",0.043219448,0.733351447191347,"Thyroid"
"GTEX-13FHP-0226-SM-5K7WD",0.164602015,0.907135885269926,"Adipose Tissue"
"GTEX-R55G-0126-SM-48FDS",0.280146477,0.805632823305164,"Adrenal Gland"
"GTEX-Y5V5-2526-SM-4VBQ4",0.2257131,0.755978034195904,"Muscle"
"GTEX-W5WG-1626-SM-4LMKG",-0.718313714,0.427837053324813,"Esophagus"
"GTEX-12ZZZ-0011-R10a-SM-5P9HC",0.352469093,0.789016401508153,"Brain"
"GTEX-X4XY-0011-R8A-SM-46MVC",0.247092006,0.869963891587059,"Brain"
"GTEX-13QJC-0011-R6a-SM-5S2VI",0.185321207,0.765941298826444,"Brain"
"GTEX-N7MT-1426-SM-3LK5M",0.500748361,0.770670783686302,"Blood Vessel"
"GTEX-ZUA1-0011-R8b-SM-51MST",0.374444864,0.895942152696203,"Brain"
"GTEX-139TU-0226-SM-5J1NM",0.041885287,0.868224180147083,"Adipose Tissue"
"GTEX-146FH-2426-SM-5Q5EW",-0.036970192,0.647292114074868,"Colon"
"GTEX-ZTSS-1126-SM-5985O",-0.174877397,0.647851921233569,"Colon"
"GTEX-X5EB-0626-SM-46MVQ",0.354269606,0.841349970567377,"Heart"
"GTEX-13NYB-0726-SM-5MR4J",0.275887347,0.763326162317243,"Thyroid"
"GTEX-ZYVF-2526-SM-5E45C",-0.045462527,0.754798729986227,"Esophagus"
"GTEX-13FHP-0011-R7b-SM-5LZYI",0.204198297,0.76015394531287,"Brain"
"GTEX-ZE7O-1526-SM-5J1NH",0.132853133,0.866238854052559,"Adipose Tissue"
"GTEX-11EMC-3326-SM-5P9JH",-0.046698947,0.653819730945255,"Brain"
"GTEX-ZYVF-0526-SM-5E43E",0.023480474,0.692170769036896,"Uterus"
"GTEX-13X6I-1526-SM-5SIAC",0.100727679,0.885195308944879,"Adipose Tissue"
"GTEX-U3ZH-0126-SM-4DXUK",-0.742142821,0.553286867469175,"Spleen"
"GTEX-13N2G-2226-SM-5IJCU",0.118923487,0.727692884768589,"Colon"
"GTEX-ZDXO-0426-SM-4WKF6",0.543137337,0.829747263333142,"Heart"
"GTEX-13112-0011-R7b-SM-5DUVW",0.255220119,0.788725751951734,"Brain"
"GTEX-13N11-0526-SM-5IJFI",-0.062687921,0.590586397349714,"Ovary"
"GTEX-12WSA-0011-R5b-SM-5GU5I",0.19845912,0.73225007445216,"Brain"
"GTEX-145LV-0226-SM-5S2QG",0.33664768,0.79822938566603,"Heart"
