"","method","unit","AUC","method_type","dataset"
"Teo2019.1","hUSI","Fold01.Rep1",0.823602537722908,"hUSI","Teo2019"
"Teo2019.2","DAS","Fold01.Rep1",0.765850051440329,"Senecence Score","Teo2019"
"Teo2019.3","mSS","Fold01.Rep1",0.691711676954732,"Senecence Score","Teo2019"
"Teo2019.4","DAS+mSS","Fold01.Rep1",0.782418124142661,"Senecence Score","Teo2019"
"Teo2019.5","lassoCS","Fold01.Rep1",0.474387002743484,"Senecence Score","Teo2019"
"Teo2019.6","CSS","Fold01.Rep1",0.524969993141289,"Senecence Score","Teo2019"
"Teo2019.7","SenMayo","Fold01.Rep1",0.856481481481482,"Gene set","Teo2019"
"Teo2019.8","CellAge","Fold01.Rep1",0.568372770919067,"Gene set","Teo2019"
"Teo2019.9","GenAge","Fold01.Rep1",0.62752914951989,"Gene set","Teo2019"
"Teo2019.10","ASIG","Fold01.Rep1",0.720593278463649,"Gene set","Teo2019"
"Teo2019.11","SASP","Fold01.Rep1",0.716735253772291,"Gene set","Teo2019"
"Teo2019.12","AgingAtlas","Fold01.Rep1",0.750064300411523,"Gene set","Teo2019"
"Teo2019.13","SenUp","Fold01.Rep1",0.754329561042524,"Gene set","Teo2019"
"Teo2019.14","SigRS","Fold01.Rep1",0.785408093278464,"Gene set","Teo2019"
"Teo2019.15","GLB1","Fold01.Rep1",0.541816700960219,"Marker","Teo2019"
"Teo2019.16","TP53","Fold01.Rep1",0.523148148148148,"Marker","Teo2019"
"Teo2019.17","CDKN1A","Fold01.Rep1",0.700585133744856,"Marker","Teo2019"
"Teo2019.18","CDKN2A","Fold01.Rep1",0.707411694101509,"Marker","Teo2019"
"Teo2019.19","LMNB1","Fold01.Rep1",0.377593449931413,"Marker","Teo2019"
"Teo2019.20","IL1A","Fold01.Rep1",0.560078017832647,"Marker","Teo2019"
"Teo2019.21","RB1","Fold01.Rep1",0.471461334019204,"Marker","Teo2019"
"Teo2019.22","CDK1","Fold01.Rep1",0.364626200274348,"Marker","Teo2019"
"Teo2019.23","CDK4","Fold01.Rep1",0.568394204389575,"Marker","Teo2019"
"Teo2019.24","CDK6","Fold01.Rep1",0.627079046639232,"Marker","Teo2019"
"Teo2019.25","MKI67","Fold01.Rep1",0.692986968449931,"Marker","Teo2019"
"Teo2019.26","CDKN2B","Fold01.Rep1",0.772162208504801,"Marker","Teo2019"
"Teo2019.27","hUSI","Fold02.Rep1",0.832068758573388,"hUSI","Teo2019"
"Teo2019.28","DAS","Fold02.Rep1",0.769590192043896,"Senecence Score","Teo2019"
"Teo2019.29","mSS","Fold02.Rep1",0.687650034293553,"Senecence Score","Teo2019"
"Teo2019.30","DAS+mSS","Fold02.Rep1",0.787090620713306,"Senecence Score","Teo2019"
"Teo2019.31","lassoCS","Fold02.Rep1",0.490354938271605,"Senecence Score","Teo2019"
"Teo2019.32","CSS","Fold02.Rep1",0.524251971879287,"Senecence Score","Teo2019"
"Teo2019.33","SenMayo","Fold02.Rep1",0.861839849108368,"Gene set","Teo2019"
"Teo2019.34","CellAge","Fold02.Rep1",0.577096193415638,"Gene set","Teo2019"
"Teo2019.35","GenAge","Fold02.Rep1",0.645383230452675,"Gene set","Teo2019"
"Teo2019.36","ASIG","Fold02.Rep1",0.730752743484225,"Gene set","Teo2019"
"Teo2019.37","SASP","Fold02.Rep1",0.714763374485597,"Gene set","Teo2019"
"Teo2019.38","AgingAtlas","Fold02.Rep1",0.765024862825789,"Gene set","Teo2019"
"Teo2019.39","SenUp","Fold02.Rep1",0.76204561042524,"Gene set","Teo2019"
"Teo2019.40","SigRS","Fold02.Rep1",0.795781893004115,"Gene set","Teo2019"
"Teo2019.41","GLB1","Fold02.Rep1",0.537690757887517,"Marker","Teo2019"
"Teo2019.42","TP53","Fold02.Rep1",0.515667866941015,"Marker","Teo2019"
"Teo2019.43","CDKN1A","Fold02.Rep1",0.703585819615912,"Marker","Teo2019"
"Teo2019.44","CDKN2A","Fold02.Rep1",0.698291752400549,"Marker","Teo2019"
"Teo2019.45","LMNB1","Fold02.Rep1",0.371013374485597,"Marker","Teo2019"
"Teo2019.46","IL1A","Fold02.Rep1",0.562457133058985,"Marker","Teo2019"
"Teo2019.47","RB1","Fold02.Rep1",0.470764746227709,"Marker","Teo2019"
"Teo2019.48","CDK1","Fold02.Rep1",0.361239711934156,"Marker","Teo2019"
"Teo2019.49","CDK4","Fold02.Rep1",0.565243484224966,"Marker","Teo2019"
"Teo2019.50","CDK6","Fold02.Rep1",0.631472908093278,"Marker","Teo2019"
"Teo2019.51","MKI67","Fold02.Rep1",0.691797410836763,"Marker","Teo2019"
"Teo2019.52","CDKN2B","Fold02.Rep1",0.7801140260631,"Marker","Teo2019"
"Teo2019.53","hUSI","Fold03.Rep1",0.831318587105624,"hUSI","Teo2019"
"Teo2019.54","DAS","Fold03.Rep1",0.772408693415638,"Senecence Score","Teo2019"
"Teo2019.55","mSS","Fold03.Rep1",0.684885116598079,"Senecence Score","Teo2019"
"Teo2019.56","DAS+mSS","Fold03.Rep1",0.79011274005487,"Senecence Score","Teo2019"
"Teo2019.57","lassoCS","Fold03.Rep1",0.479702503429355,"Senecence Score","Teo2019"
"Teo2019.58","CSS","Fold03.Rep1",0.521990740740741,"Senecence Score","Teo2019"
"Teo2019.59","SenMayo","Fold03.Rep1",0.871313443072702,"Gene set","Teo2019"
"Teo2019.60","CellAge","Fold03.Rep1",0.563293038408779,"Gene set","Teo2019"
"Teo2019.61","GenAge","Fold03.Rep1",0.628450788751715,"Gene set","Teo2019"
"Teo2019.62","ASIG","Fold03.Rep1",0.715427812071331,"Gene set","Teo2019"
