"","method","unit","AUC","dataset"
"Teo2019.1","hUSI","Fold01.Rep1",0.827417695473251,"Teo2019"
"Teo2019.2","CDKN1A","Fold01.Rep1",0.710230195473251,"Teo2019"
"Teo2019.3","CDKN2A","Fold01.Rep1",0.704464591906722,"Teo2019"
"Teo2019.4","LMNB1","Fold01.Rep1",0.369234396433471,"Teo2019"
"Teo2019.5","CDKN2B","Fold01.Rep1",0.768143432784636,"Teo2019"
"Teo2019.6","SERPINE1","Fold01.Rep1",0.282803926611797,"Teo2019"
"Teo2019.7","hUSI","Fold02.Rep1",0.820837620027435,"Teo2019"
"Teo2019.8","CDKN1A","Fold02.Rep1",0.707379543895748,"Teo2019"
"Teo2019.9","CDKN2A","Fold02.Rep1",0.709051354595336,"Teo2019"
"Teo2019.10","LMNB1","Fold02.Rep1",0.374967849794239,"Teo2019"
"Teo2019.11","CDKN2B","Fold02.Rep1",0.770233196159122,"Teo2019"
"Teo2019.12","SERPINE1","Fold02.Rep1",0.266610939643347,"Teo2019"
"Teo2019.13","hUSI","Fold03.Rep1",0.818587105624143,"Teo2019"
"Teo2019.14","CDKN1A","Fold03.Rep1",0.70517189643347,"Teo2019"
"Teo2019.15","CDKN2A","Fold03.Rep1",0.709394290123457,"Teo2019"
"Teo2019.16","LMNB1","Fold03.Rep1",0.377979252400549,"Teo2019"
"Teo2019.17","CDKN2B","Fold03.Rep1",0.771358453360768,"Teo2019"
"Teo2019.18","SERPINE1","Fold03.Rep1",0.292695473251029,"Teo2019"
"Teo2019.19","hUSI","Fold04.Rep1",0.826110253772291,"Teo2019"
"Teo2019.20","CDKN1A","Fold04.Rep1",0.698291752400549,"Teo2019"
"Teo2019.21","CDKN2A","Fold04.Rep1",0.711548353909465,"Teo2019"
"Teo2019.22","LMNB1","Fold04.Rep1",0.38110853909465,"Teo2019"
"Teo2019.23","CDKN2B","Fold04.Rep1",0.78622256515775,"Teo2019"
"Teo2019.24","SERPINE1","Fold04.Rep1",0.284218535665295,"Teo2019"
"Teo2019.25","hUSI","Fold05.Rep1",0.820516117969822,"Teo2019"
"Teo2019.26","CDKN1A","Fold05.Rep1",0.692076045953361,"Teo2019"
"Teo2019.27","CDKN2A","Fold05.Rep1",0.698741855281207,"Teo2019"
"Teo2019.28","LMNB1","Fold05.Rep1",0.382544581618656,"Teo2019"
"Teo2019.29","CDKN2B","Fold05.Rep1",0.779438871742112,"Teo2019"
"Teo2019.30","SERPINE1","Fold05.Rep1",0.285633144718793,"Teo2019"
"Teo2019.31","hUSI","Fold06.Rep1",0.821652091906722,"Teo2019"
"Teo2019.32","CDKN1A","Fold06.Rep1",0.70360725308642,"Teo2019"
"Teo2019.33","CDKN2A","Fold06.Rep1",0.695441100823045,"Teo2019"
"Teo2019.34","LMNB1","Fold06.Rep1",0.376778978052126,"Teo2019"
"Teo2019.35","CDKN2B","Fold06.Rep1",0.765410665294925,"Teo2019"
"Teo2019.36","SERPINE1","Fold06.Rep1",0.274294838820302,"Teo2019"
"Teo2019.37","hUSI","Fold07.Rep1",0.83397633744856,"Teo2019"
"Teo2019.38","CDKN1A","Fold07.Rep1",0.715631430041152,"Teo2019"
"Teo2019.39","CDKN2A","Fold07.Rep1",0.710144461591221,"Teo2019"
"Teo2019.40","LMNB1","Fold07.Rep1",0.3582390260631,"Teo2019"
"Teo2019.41","CDKN2B","Fold07.Rep1",0.765935785322359,"Teo2019"
"Teo2019.42","SERPINE1","Fold07.Rep1",0.281978737997257,"Teo2019"
"Teo2019.43","hUSI","Fold08.Rep1",0.836462620027435,"Teo2019"
"Teo2019.44","CDKN1A","Fold08.Rep1",0.708922753772291,"Teo2019"
"Teo2019.45","CDKN2A","Fold08.Rep1",0.704850394375857,"Teo2019"
"Teo2019.46","LMNB1","Fold08.Rep1",0.368870027434842,"Teo2019"
"Teo2019.47","CDKN2B","Fold08.Rep1",0.777777777777778,"Teo2019"
"Teo2019.48","SERPINE1","Fold08.Rep1",0.251918295610425,"Teo2019"
"Teo2019.49","hUSI","Fold09.Rep1",0.833311899862826,"Teo2019"
"Teo2019.50","CDKN1A","Fold09.Rep1",0.695023148148148,"Teo2019"
"Teo2019.51","CDKN2A","Fold09.Rep1",0.701667524005487,"Teo2019"
"Teo2019.52","LMNB1","Fold09.Rep1",0.36636231138546,"Teo2019"
"Teo2019.53","CDKN2B","Fold09.Rep1",0.779170953360768,"Teo2019"
"Teo2019.54","SERPINE1","Fold09.Rep1",0.264392575445816,"Teo2019"
"Teo2019.55","hUSI","Fold10.Rep1",0.826238854595336,"Teo2019"
"Teo2019.56","CDKN1A","Fold10.Rep1",0.700756601508916,"Teo2019"
"Teo2019.57","CDKN2A","Fold10.Rep1",0.727966392318244,"Teo2019"
"Teo2019.58","LMNB1","Fold10.Rep1",0.370070301783265,"Teo2019"
"Teo2019.59","CDKN2B","Fold10.Rep1",0.780949931412894,"Teo2019"
"Teo2019.60","SERPINE1","Fold10.Rep1",0.266696673525377,"Teo2019"
"Teo2019.61","hUSI","Fold01.Rep2",0.814536179698217,"Teo2019"
"Teo2019.62","CDKN1A","Fold01.Rep2",0.707508144718793,"Teo2019"
"Teo2019.63","CDKN2A","Fold01.Rep2",0.707315243484225,"Teo2019"
"Teo2019.64","LMNB1","Fold01.Rep2",0.382030178326475,"Teo2019"
"Teo2019.65","CDKN2B","Fold01.Rep2",0.771176268861454,"Teo2019"
"Teo2019.66","SERPINE1","Fold01.Rep2",0.267446844993141,"Teo2019"
