"","expression","weight","gene","threshold"
"A1BG",-0.0112545003654166,-0.000117890258864928,"A1BG","Negative"
"A2M",-0.0369047625504002,-0.00216617834912962,"A2M","Negative"
"A2ML1",-0.00518247149965623,-0.00685266846859067,"A2ML1","Negative"
"A4GALT",0.00239546732580052,0.00116769376629533,"A4GALT","Positive"
"AAAS",-0.00844618054267725,-4.58395220309403e-05,"AAAS","Negative"
"AACS",-0.0176822496039189,-0.00119608100583995,"AACS","Negative"
"AADAT",-0.0615584719623117,-0.00406368089362654,"AADAT","Negative"
"AAGAB",0.00166028752720147,-0.00035107899389587,"AAGAB","Negative"
"AAK1",-0.0048891597879619,-1.86610158423741e-05,"AAK1","Negative"
"AAMDC",0.0110610732076389,0.000791061835815001,"AAMDC","Positive"
"AAMP",0.00939505537114408,0.00044596946265096,"AAMP","Positive"
"AAR2",-0.00546143633884997,-0.000657352791962916,"AAR2","Negative"
"AARD",-0.0956304815450546,-0.00668826837874287,"AARD","Negative"
"AARS",-0.0102951708102774,-0.00141740009301908,"AARS","Negative"
"AARS2",-0.00365657472670369,0.000418271205007355,"AARS2","Positive"
"AARSD1",-0.00577353546139444,0.000395295684882211,"AARSD1","Positive"
"AASDH",0.00272432286794617,0.00047851491701337,"AASDH","Positive"
"AASDHPPT",0.00551718171999569,6.91875651724619e-05,"AASDHPPT","Positive"
"AASS",-0.0370703279764519,-0.00253941243608471,"AASS","Negative"
"AATF",-0.00562092713363043,-0.000428654933542396,"AATF","Negative"
"AATK",-0.0591928955410602,-0.00492927485980607,"AATK","Negative"
"ABAT",0.0235897772536986,0.00202978618771588,"ABAT","Positive"
"ABCA1",0.0969179963771494,0.00372467659187023,"ABCA1","Positive"
"ABCA10",0.185544388145108,0.00850661601331668,"ABCA10","Positive"
"ABCA12",0.134937331757901,0.000208392661728378,"ABCA12","Positive"
"ABCA2",0.0336522149589794,0.00258345401265473,"ABCA2","Positive"
"ABCA3",0.00607549759914768,0.00386086465037353,"ABCA3","Positive"
"ABCA5",0.024752622520005,0.00129784201053708,"ABCA5","Positive"
"ABCA6",0.0887060491058749,0.0063309067905252,"ABCA6","Positive"
"ABCA7",0.0192807409606785,0.00402015340093404,"ABCA7","Positive"
"ABCA8",0.0736344337795563,0.000720573340558592,"ABCA8","Positive"
