"","w"
"A1BG",-0.000117890258864928
"A2M",-0.00216617834912962
"A2ML1",-0.00685266846859067
"A4GALT",0.00116769376629533
"AAAS",-4.58395220309403e-05
"AACS",-0.00119608100583995
"AADAT",-0.00406368089362654
"AAGAB",-0.00035107899389587
"AAK1",-1.86610158423741e-05
"AAMDC",0.000791061835815001
"AAMP",0.00044596946265096
"AAR2",-0.000657352791962916
"AARD",-0.00668826837874287
"AARS",-0.00141740009301908
"AARS2",0.000418271205007355
"AARSD1",0.000395295684882211
"AASDH",0.00047851491701337
"AASDHPPT",6.91875651724619e-05
"AASS",-0.00253941243608471
"AATF",-0.000428654933542396
"AATK",-0.00492927485980607
"ABAT",0.00202978618771588
"ABCA1",0.00372467659187023
"ABCA10",0.00850661601331668
"ABCA12",0.000208392661728378
"ABCA2",0.00258345401265473
"ABCA3",0.00386086465037353
"ABCA5",0.00129784201053708
"ABCA6",0.0063309067905252
"ABCA7",0.00402015340093404
"ABCA8",0.000720573340558592
"ABCA9",0.00961961912392053
"ABCB1",0.0128644397605606
"ABCB10",-7.32471133550426e-05
"ABCB4",0.00115315372098873
"ABCB5",0.00329947139900928
"ABCB6",0.000273951209281428
"ABCB7",-6.29225633330284e-05
"ABCB8",-0.000296675480542497
"ABCB9",0.000275003015655232
"ABCC1",-0.000113982687276806
"ABCC10",0.000231748463775353
"ABCC2",-0.00502224237014155
"ABCC3",0.00130830422771478
"ABCC4",-8.21639070267022e-05
"ABCC5",0.000766891071290302
"ABCC6",-0.000816208238833838
"ABCC9",-0.0025088823781408
"ABCD1",-2.19497257013552e-05
"ABCD3",0.000851339426924976
"ABCD4",0.000182002271276636
"ABCE1",-0.000173446146452254
"ABCF1",-0.000796682865850734
"ABCF2",0.00889193440617478
"ABCF3",2.16081434218356e-05
"ABCG1",0.00912143858648855
"ABCG2",-0.00719581592330006
"ABCG4",-0.00146199888626587
"ABHD10",0.000446308716016069
"ABHD11",-0.00036662857011954
"ABHD12",0.00096448026891921
"ABHD12B",0.00083456225930236
"ABHD13",0.000604271620781964
"ABHD14A",0.00171526624594343
"ABHD14A-ACY1",-0.00479092349618546
"ABHD14B",-0.000417015677361047
"ABHD15",-4.60412918989731e-05
"ABHD16A",0.001036739063159
"ABHD17A",0.000489648987103746
"ABHD17B",-0.00052724605211023
"ABHD17C",-0.000702060619656629
"ABHD18",-0.000126524704260805
"ABHD2",2.65216581384407e-05
"ABHD3",-0.000894549795671208
"ABHD4",-0.00139903707167039
"ABHD5",0.00122534004581665
"ABHD6",0.00017382603295937
"ABHD8",-0.000973083010970366
"ABI1",0.000478034898546523
"ABI2",0.000823413083514795
"ABI3",-0.00643288099372235
"ABI3BP",0.000288253402600611
"ABITRAM",0.000944019453510409
"ABL1",-0.000483659163604781
"ABL2",0.000715104489540629
"ABLIM1",-0.000634395944350347
"ABLIM3",0.00204744308952899
"ABR",-6.73630412706389e-06
"ABRACL",4.88179088220216e-05
"ABRAXAS1",-0.000595821227118808
"ABRAXAS2",-0.000161147890916161
"ABT1",-0.00159563405840825
"ABTB1",-0.000589748054840484
"ABTB2",-0.00023403099584326
"AC000093.1",0.00308169208970595
"AC000120.2",-0.0136885639275021
"AC000120.3",-0.0263679887663389
"AC001226.2",-0.00163999988946176
"AC002985.1",-0.00491264570100106
"AC002996.1",-0.0186967758274285
"AC003002.2",0.00118825714413133
"AC003002.3",0.00638377984122525
"AC003005.1",0.00192008466295284
"AC003006.1",0.000643350727193901
"AC003112.1",0.00242382799415136
"AC003665.1",-0.00201350416630379
"AC003688.1",-0.00872640779973433
"AC004080.3",0.00234792470703645
"AC004086.1",-0.00033533170681385
"AC004151.1",0.000316998835703163
"AC004156.1",-0.000230859531666034
"AC004475.1",0.000477504972331091
"AC004551.1",0.0116316454142944
"AC004832.3",0.00927294542175787
"AC004922.1",-0.00183809363794453
"AC004997.1",0.00177532427641032
"AC005020.2",0.000609752728460042
"AC005154.5",0.00919091008450329
"AC005258.1",-0.00226496501900533
"AC005261.1",0.000197213006741101
"AC005324.3",-0.00489665923204703
"AC005520.1",-0.000843765395759429
"AC005747.1",0.00193024498131842
"AC005833.1",0.000657531335634758
"AC005840.1",-0.000302738405419551
"AC005943.1",-0.00566374935430565
"AC005954.1",0.000635319377695787
"AC006059.2",-0.00633673324617091
"AC006064.6",-0.00123888312711288
"AC006486.1",-0.00942312374278454
"AC006538.1",-0.000668042086803058
"AC006538.3",0.00275192948340654
"AC007040.2",0.00190778373707161
"AC007192.1",0.0055071194050292
"AC007731.4",-0.00601069231684892
"AC007906.2",0.00148738083136563
"AC008554.1",0.00314485436913659
"AC008687.4",-0.0031270460938348
"AC008687.8",0.00190994582237809
"AC008750.8",-0.0149921794834301
"AC008755.1",-0.00151744127342758
"AC008763.3",-0.00464629657038951
"AC008764.1",0.0117273608782225
"AC008764.4",-0.00763670121471019
"AC008770.2",-0.00803821167126058
"AC008770.4",-0.0113571289010439
"AC008878.1",-0.000833533898317585
"AC008982.1",-0.0130897128982954
"AC009133.6",-0.00267132043365573
"AC009163.4",-0.00560992568864086
"AC009412.1",-0.00227880281027951
"AC009690.1",-4.74930629184402e-05
"AC009779.3",0.00407223475843599
"AC009879.3",0.00795328175636333
"AC010132.3",-0.00459635290685618
"AC010323.1",-0.00577999851672926
"AC010327.1",0.00300279602372604
"AC010422.3",0.000451255039644526
"AC010422.5",0.00932411531663033
"AC010422.6",0.0114184648496968
"AC010422.8",0.000386143334377705
"AC010522.1",-0.00190390763701764
"AC010531.1",0.00195607437490225
"AC010547.4",0.00228828801050579
"AC010605.1",0.000569931196311067
"AC010618.1",-0.000156378419846297
"AC010761.1",-0.00201966749615913
"AC011005.1",0.0004249758548397
"AC011448.1",0.000225009850573366
"AC011462.1",0.000401479157979194
"AC011473.4",-0.000850126691378916
"AC011479.1",-0.010546475980049
"AC011511.1",-0.000376567982765076
"AC011511.4",-0.0162660432693612
"AC011530.1",-0.0079056740468743
"AC012184.2",0.00111859975131421
"AC012254.2",-0.00574967879361672
"AC012309.1",0.000478153591881981
"AC012488.2",-0.00166895458204333
"AC012531.3",-0.0105582606104473
"AC012651.1",0.000675470132598997
"AC013394.1",0.001265609767702
"AC013489.1",-0.00285098921686588
"AC015802.6",0.000871526343214573
