"","TCSER","hUSI","Group"
"TCGA.OR.A5K3.01",0.216663140346958,0.675961103621654,"ACC"
"TCGA.OR.A5J2.01",0.103341894226027,0.640220307569418,"ACC"
"TCGA.OR.A5LN.01",0.203545397440882,0.679711359898091,"ACC"
"TCGA.OR.A5KY.01",-0.624784692407991,0.465444379683287,"ACC"
"TCGA.OR.A5LG.01",-0.141550049664255,0.540529198615946,"ACC"
"TCGA.OR.A5JC.01",-0.2264213789199,0.57475257909277,"ACC"
"TCGA.OR.A5JV.01",0.547931199186312,0.758403602278316,"ACC"
"TCGA.OU.A5PI.01",0.282270450988772,0.686762287825605,"ACC"
"TCGA.OR.A5KO.01",-0.606872891286833,0.541440274835555,"ACC"
"TCGA.OR.A5JP.01",-0.40667493413495,0.435202448828958,"ACC"
"TCGA.OR.A5L9.01",0.067056227965207,0.643756283810265,"ACC"
"TCGA.OR.A5JO.01",0.451176745823705,0.647883671517608,"ACC"
"TCGA.OR.A5JX.01",0.251283812303653,0.667800280414268,"ACC"
"TCGA.PA.A5YG.01",0.782105546229665,0.780136105142704,"ACC"
"TCGA.OR.A5LD.01",-0.390197878855731,0.413655356803393,"ACC"
"TCGA.OR.A5LL.01",0.676964130086633,0.764143819963279,"ACC"
"TCGA.OR.A5K8.01",0.0758514322934409,0.60646709228125,"ACC"
"TCGA.OR.A5KW.01",0.133791738809232,0.662470498365279,"ACC"
"TCGA.OR.A5J9.01",-0.0279728675658889,0.579293295122167,"ACC"
"TCGA.OR.A5L8.01",0.145939433587971,0.638012786741298,"ACC"
"TCGA.OR.A5J6.01",0.546563329998053,0.712766373319512,"ACC"
"TCGA.OR.A5JJ.01",-0.762931805922333,0.483795023479877,"ACC"
"TCGA.OR.A5LJ.01",-0.478987673293178,0.553112975375473,"ACC"
"TCGA.OR.A5JM.01",-0.465155214048331,0.433808827343988,"ACC"
"TCGA.PK.A5HB.01",-0.372721598689073,0.543269848354077,"ACC"
"TCGA.OR.A5JF.01",0.628762033141631,0.741139726990226,"ACC"
"TCGA.OR.A5K9.01",-0.680841225459195,0.431940349438329,"ACC"
"TCGA.OR.A5LM.01",0.262833914115846,0.63237552065272,"ACC"
"TCGA.OR.A5KZ.01",-0.986903380034274,0.289407130222842,"ACC"
"TCGA.PK.A5H8.01",-0.412566933203977,0.607157450660806,"ACC"
"TCGA.OR.A5J7.01",-0.575468743379064,0.442273070870062,"ACC"
"TCGA.P6.A5OG.01",-0.718551444755066,0.443437317785982,"ACC"
"TCGA.OR.A5K1.01",-0.00605294677628682,0.568414942089086,"ACC"
"TCGA.OR.A5LT.01",0.298318434650333,0.723025453854985,"ACC"
"TCGA.OR.A5L6.01",-0.180847054525559,0.589203741705624,"ACC"
"TCGA.OR.A5JW.01",0.444828294802874,0.74661611201083,"ACC"
"TCGA.OR.A5LE.01",-0.57242290310124,0.468644785296865,"ACC"
