"","method","dataset","AUC_rank"
"1","hUSI","Teo2019",6
"2","CDKN1A","Teo2019",3
"3","CDKN2A","Teo2019",4
"4","LMNB1","Teo2019",2
"5","CDKN2B","Teo2019",5
"6","SERPINE1","Teo2019",1
"7","hUSI","Tang2019",6
"8","CDKN1A","Tang2019",5
"9","CDKN2A","Tang2019",1
"10","LMNB1","Tang2019",3
"11","CDKN2B","Tang2019",2
"12","SERPINE1","Tang2019",4
"13","hUSI","Aarts2017",6
"14","CDKN1A","Aarts2017",4
"15","CDKN2A","Aarts2017",3
"16","LMNB1","Aarts2017",2
"17","CDKN2B","Aarts2017",5
"18","SERPINE1","Aarts2017",1
