"","Teo2019.method","Teo2019.unit","Teo2019.AUC","Tang2019.method","Tang2019.unit","Tang2019.AUC","Aarts2017.method","Aarts2017.unit","Aarts2017.AUC"
"1","hUSI","Fold01.Rep1",0.85665267943002,"hUSI","Fold01.Rep1",0.828771219135802,"hUSI","Fold01.Rep1",0.929398148148148
"2","CDKN1A","Fold01.Rep1",0.741432817553982,"CDKN1A","Fold01.Rep1",0.706630979938272,"CDKN1A","Fold01.Rep1",0.67554012345679
"3","CDKN2A","Fold01.Rep1",0.693089430894309,"CDKN2A","Fold01.Rep1",0.460598958333333,"CDKN2A","Fold01.Rep1",0.471643518518519
"4","CDKN2B","Fold01.Rep1",0.770543753824635,"CDKN2B","Fold01.Rep1",0.49670524691358,"CDKN2B","Fold01.Rep1",0.758873456790123
"5","SERPINE1","Fold01.Rep1",0.208245913104292,"SERPINE1","Fold01.Rep1",0.688062307098765,"SERPINE1","Fold01.Rep1",0.284143518518518
"6","hUSI","Fold02.Rep1",0.85313401521112,"hUSI","Fold02.Rep1",0.828996913580247,"hUSI","Fold02.Rep1",0.920717592592593
"7","CDKN1A","Fold02.Rep1",0.719315499606609,"CDKN1A","Fold02.Rep1",0.709111689814815,"CDKN1A","Fold02.Rep1",0.709297839506173
"8","CDKN2A","Fold02.Rep1",0.689942302648833,"CDKN2A","Fold02.Rep1",0.463093171296296,"CDKN2A","Fold02.Rep1",0.441743827160494
"9","CDKN2B","Fold02.Rep1",0.749322493224932,"CDKN2B","Fold02.Rep1",0.493898533950617,"CDKN2B","Fold02.Rep1",0.759452160493827
"10","SERPINE1","Fold02.Rep1",0.188762129556779,"SERPINE1","Fold02.Rep1",0.7046875,"SERPINE1","Fold02.Rep1",0.326195987654321
"11","hUSI","Fold03.Rep1",0.845834426086196,"hUSI","Fold03.Rep1",0.824706790123457,"hUSI","Fold03.Rep1",0.922067901234568
"12","CDKN1A","Fold03.Rep1",0.723271264970714,"CDKN1A","Fold03.Rep1",0.707911844135802,"CDKN1A","Fold03.Rep1",0.674768518518518
"13","CDKN2A","Fold03.Rep1",0.695668327651018,"CDKN2A","Fold03.Rep1",0.456016589506173,"CDKN2A","Fold03.Rep1",0.491994598765432
"14","CDKN2B","Fold03.Rep1",0.748579421278084,"CDKN2B","Fold03.Rep1",0.494601658950617,"CDKN2B","Fold03.Rep1",0.765914351851852
"15","SERPINE1","Fold03.Rep1",0.200410875076493,"SERPINE1","Fold03.Rep1",0.702586805555556,"SERPINE1","Fold03.Rep1",0.30787037037037
"16","hUSI","Fold04.Rep1",0.854838709677419,"hUSI","Fold04.Rep1",0.821799768518519,"hUSI","Fold04.Rep1",0.922260802469136
"17","CDKN1A","Fold04.Rep1",0.728691319171256,"CDKN1A","Fold04.Rep1",0.710151427469136,"CDKN1A","Fold04.Rep1",0.664351851851852
"18","CDKN2A","Fold04.Rep1",0.69140659148527,"CDKN2A","Fold04.Rep1",0.458727816358025,"CDKN2A","Fold04.Rep1",0.481963734567901
"19","CDKN2B","Fold04.Rep1",0.764446192849025,"CDKN2B","Fold04.Rep1",0.495349151234568,"CDKN2B","Fold04.Rep1",0.772280092592593
