"","orig.ident","nCount_RNA","nFeature_RNA","Condition","DAS","mSS","DAS+mSS","lassoCS","CSS","orig.ident","nCount_RNA","nFeature_RNA","Condition","GLB1","TP53","CDKN1A","CDKN2A","LMNB1","IL1A","RB1","CDK1","CDK4","CDK6","MKI67","CDKN2B","orig.ident","nCount_RNA","nFeature_RNA","Condition","SenMayo","CellAge","GenAge","ASIG","SASP","AgingAtlas","SenUp","SigRS","hUSI"
"OSKM_01_S221_L001","OSKM",48738,4751,"Senescence",0.5,0.25,0.346153846153846,-0.172618049507926,0.0882936422432762,"OSKM",48738,4751,"Senescence",0.186627863545289,0,1.8131079217781,0,0,0,0,0.186627863545289,0,1.8131079217781,0.186627863545289,0.479666871845333,"OSKM",48738,4751,"Senescence",5.74297102602919,7.32039733964491,8.75727206753967,10.390030073034,3.76117076741527,9.45576831738372,6.28468085177584,10.9693902258842,0.780894876656425
"OSKM_01_S221_L002","OSKM",56049,4913,"Senescence",0.4,0.25,0.307692307692308,-0.320437925530036,0,"OSKM",56049,4913,"Senescence",0.305151561229121,0,1.43781310244692,0,0,0,0.164170582662492,0,0,1.55745419419753,0.164170582662492,0,"OSKM",56049,4913,"Senescence",5.69565479850398,7.2672728721068,8.59570464524273,10.3625495916716,3.71706338059416,9.33954957222295,6.2414839696219,11.0307705255242,0.781641609726053
"OSKM_02_S222_L001","OSKM",96744,5902,"Senescence",0.6,0.375,0.461538461538462,0.254774256494887,0,"OSKM",96744,5902,"Senescence",0.806648619133633,0.0983651299571452,1.24725468327683,0,0,0,0,0,0,0.709835076796808,0.416621257529075,0.544391387656395,"OSKM",96744,5902,"Senescence",5.09760685661793,7.45376151740853,8.59162227702362,10.401521309028,3.83071575961189,9.18490353720526,6.15972524069185,11.0214612690233,0.831352389908486
"OSKM_02_S222_L002","OSKM",112370,6022,"Senescence",0.5,0.4375,0.461538461538462,0.141967265178399,0.0296485301188622,"OSKM",112370,6022,"Senescence",0.427846331246489,0,1.25040827424936,0,0,0,0,0.0852522440777658,0,0.885364438131965,0.537623602998279,0.368080683679212,"OSKM",112370,6022,"Senescence",5.1889909013176,7.4818221098884,8.75877308216843,10.466796139958,3.78452519659767,9.35628086243337,6.19591974362126,11.2408794320122,0.872806246301879
"OSKM_03_S223_L001","OSKM",34394,4248,"Senescence",0.3,0.3125,0.307692307692308,-0.00897004321474892,0.0745504030454236,"OSKM",34394,4248,"Senescence",0.255222194609461,0.458371723099399,1.62343497665133,0,0,0,0,0.255222194609461,0,1.20176649945582,1.50162564616997,0.627138330506057,"OSKM",34394,4248,"Senescence",5.5399983027754,7.41835312587547,8.13073842620065,10.1195467763432,3.56229829230041,8.90712937911245,5.85453042137385,10.6128306486434,0.498145447931407
"OSKM_03_S223_L002","OSKM",40459,4456,"Senescence",0.4,0.3125,0.346153846153846,0.0575124572465817,0.0645167140256794,"OSKM",40459,4456,"Senescence",0.804607593713323,0,1.4382056829325,0,0,0,0,0,0,1.37774934255783,0.804607593713323,0.909460568396225,"OSKM",40459,4456,"Senescence",5.46241987014871,7.45903011027783,8.11163126767473,10.024461259073,3.50663417084316,8.86235574607532,5.85882550437094,10.7627524646002,0.474346916943276
"OSKM_04_S224_L001","OSKM",107011,5797,"Senescence",0.6,0.375,0.461538461538462,0.132365465397404,0.0693925462946226,"OSKM",107011,5797,"Senescence",0.558235805737681,0,1.38387814110465,0.171342063964747,0,0,0.171342063964747,0,0,0.752066841540842,0.0893363145561615,0.383384233671948,"OSKM",107011,5797,"Senescence",5.40198394988815,7.49024785537453,8.58804477934081,10.5667666020572,4.14556878040379,9.27685207394912,6.34708668195893,11.0919628649412,0.899905052575207
"OSKM_04_S224_L002","OSKM",124082,5955,"Senescence",0.6,0.375,0.461538461538462,0.0953065661264117,0.0391941546463917,"OSKM",124082,5955,"Senescence",0.676561597038067,0,1.20512138447384,0.149439944576962,0,0,0.149439944576962,0,0,1.01993736368879,0.216542290864043,0.497579236492417,"OSKM",124082,5955,"Senescence",5.60308220519337,7.69622925552254,8.59720812636573,10.571131498875,4.09672632218474,9.37211657482883,6.39086883945136,11.1751176701463,0.88080061074958
"OSKM_05_S225_L001","OSKM",139026,6077,"Senescence",0.6,0.3125,0.423076923076923,0.102303264030248,0.0392602101753225,"OSKM",139026,6077,"Senescence",1.23709390968863,0.195391583245147,1.17241982652587,0,0,0,0.134406744865877,0.0694598213683192,0,0.499174568228626,0,0.195391583245147,"OSKM",139026,6077,"Senescence",5.22565750866872,7.54088046257423,8.3433476030575,10.503031816269,3.95185169894586,9.06641345657386,6.25904886926154,11.0637538741988,0.785987983036093
"OSKM_05_S225_L002","OSKM",160529,6212,"Senescence",0.6,0.3125,0.423076923076923,0.0109704573305014,0.114065585910887,"OSKM",160529,6212,"Senescence",1.28546514521713,0.0604307586300985,0.938971960344713,0,0,0,0.171329802345233,0.0604307586300985,0,0.963038830945539,0.171329802345233,0,"OSKM",160529,6212,"Senescence",5.35265739804872,7.64277723142237,8.59966527619532,10.6604556918333,3.95128599848136,9.22661840767804,6.24429025522218,11.115794364773,0.779942516529398
"OSKM_06_S226_L001","OSKM",83407,5814,"Senescence",0.4,0.3125,0.346153846153846,0.138554377063753,0,"OSKM",83407,5814,"Senescence",0.731909193924191,0,1.44388812857665,0,0,0,0,0.307250879087341,0,1.22315178832586,0.787975488336665,1.02905147213749,"OSKM",83407,5814,"Senescence",5.46549694085892,7.45519866305399,8.64045779711257,10.3867911117707,3.60171649350978,9.23201537150063,6.32782197719706,11.0350158713025,0.828706097302794
"OSKM_06_S226_L002","OSKM",97966,6008,"Senescence",0.6,0.375,0.461538461538462,0.0880723147811348,0,"OSKM",97966,6008,"Senescence",0.703474819079855,0.0971958830469372,1.56377516400801,0,0,0,0.0971958830469372,0.0971958830469372,0,1.4507796098057,0.539141098271208,0.887507326625683,"OSKM",97966,6008,"Senescence",5.43531769330438,7.55138251494433,8.57786580950195,10.4951844558414,3.76893150739813,9.2134407117784,6.37261972795495,11.0847878416812,0.807876686086763
