"","Teo2019.method","Teo2019.unit","Teo2019.AUC","Tang2019.method","Tang2019.unit","Tang2019.AUC","Aarts2017.method","Aarts2017.unit","Aarts2017.AUC"
"1","hUSI","Fold01.Rep1",0.85665267943002,"hUSI","Fold01.Rep1",0.828771219135802,"hUSI","Fold01.Rep1",0.929398148148148
"2","hUSI_exp","Fold01.Rep1",0.88633184718944,"hUSI_exp","Fold01.Rep1",0.716346450617284,"hUSI_exp","Fold01.Rep1",0.910686728395062
"3","CDKN1A","Fold01.Rep1",0.741432817553982,"CDKN1A","Fold01.Rep1",0.706630979938272,"CDKN1A","Fold01.Rep1",0.67554012345679
"4","CDKN2A","Fold01.Rep1",0.693089430894309,"CDKN2A","Fold01.Rep1",0.460598958333333,"CDKN2A","Fold01.Rep1",0.471643518518519
"5","LMNB1","Fold01.Rep1",0.350642538683451,"LMNB1","Fold01.Rep1",0.49788387345679,"LMNB1","Fold01.Rep1",0.370563271604938
"6","CDKN2B","Fold01.Rep1",0.770543753824635,"CDKN2B","Fold01.Rep1",0.49670524691358,"CDKN2B","Fold01.Rep1",0.758873456790123
"7","SERPINE1","Fold01.Rep1",0.208245913104292,"SERPINE1","Fold01.Rep1",0.688062307098765,"SERPINE1","Fold01.Rep1",0.284143518518518
"8","top_1","Fold01.Rep1",0.508130081300813,"top_1","Fold01.Rep1",0.506915509259259,"top_1","Fold01.Rep1",0.5
"9","top_2","Fold01.Rep1",0.865285427047819,"top_2","Fold01.Rep1",0.506874035493827,"top_2","Fold01.Rep1",0.5
"10","top_3","Fold01.Rep1",0.865285427047819,"top_3","Fold01.Rep1",0.52054012345679,"top_3","Fold01.Rep1",0.5
"11","top_4","Fold01.Rep1",0.873054899903838,"top_4","Fold01.Rep1",0.374379822530864,"top_4","Fold01.Rep1",0.555555555555556
"12","top_5","Fold01.Rep1",0.877360346184107,"top_5","Fold01.Rep1",0.377042824074074,"top_5","Fold01.Rep1",0.521412037037037
"13","top_6","Fold01.Rep1",0.887719643325465,"top_6","Fold01.Rep1",0.391285686728395,"top_6","Fold01.Rep1",0.521412037037037
"14","top_7","Fold01.Rep1",0.918327651018446,"top_7","Fold01.Rep1",0.433231095679012,"top_7","Fold01.Rep1",0.434220679012346
"15","top_8","Fold01.Rep1",0.920043273013375,"top_8","Fold01.Rep1",0.435275848765432,"top_8","Fold01.Rep1",0.434220679012346
"16","top_9","Fold01.Rep1",0.921780750065565,"top_9","Fold01.Rep1",0.436197916666667,"top_9","Fold01.Rep1",0.51099537037037
"17","top_10","Fold01.Rep1",0.92134364892036,"top_10","Fold01.Rep1",0.437162422839506,"top_10","Fold01.Rep1",0.51099537037037
"18","top_11","Fold01.Rep1",0.923343386659673,"top_11","Fold01.Rep1",0.441461226851852,"top_11","Fold01.Rep1",0.51099537037037
"19","top_12","Fold01.Rep1",0.93093801905761,"top_12","Fold01.Rep1",0.444379822530864,"top_12","Fold01.Rep1",0.656828703703704
"20","top_13","Fold01.Rep1",0.931047294343911,"top_13","Fold01.Rep1",0.445300925925926,"top_13","Fold01.Rep1",0.684413580246914
"21","top_14","Fold01.Rep1",0.930839671299939,"top_14","Fold01.Rep1",0.417981288580247,"top_14","Fold01.Rep1",0.63695987654321
"22","top_15","Fold01.Rep1",0.926009703645424,"top_15","Fold01.Rep1",0.501616512345679,"top_15","Fold01.Rep1",0.63695987654321
"23","top_16","Fold01.Rep1",0.926031558702684,"top_16","Fold01.Rep1",0.506187307098765,"top_16","Fold01.Rep1",0.63695987654321
"24","top_17","Fold01.Rep1",0.926228254218026,"top_17","Fold01.Rep1",0.505027970679012,"top_17","Fold01.Rep1",0.624228395061728
"25","top_18","Fold01.Rep1",0.926687210420491,"top_18","Fold01.Rep1",0.510977044753086,"top_18","Fold01.Rep1",0.630594135802469
"26","top_19","Fold01.Rep1",0.928162426785558,"top_19","Fold01.Rep1",0.506922260802469,"top_19","Fold01.Rep1",0.636574074074074
"27","top_20","Fold01.Rep1",0.928162426785558,"top_20","Fold01.Rep1",0.512173032407407,"top_20","Fold01.Rep1",0.637152777777778
"28","top_21","Fold01.Rep1",0.93009659935309,"top_21","Fold01.Rep1",0.512023533950617,"top_21","Fold01.Rep1",0.637152777777778
"29","top_22","Fold01.Rep1",0.927211731794737,"top_22","Fold01.Rep1",0.509539930555556,"top_22","Fold01.Rep1",0.637152777777778
"30","top_23","Fold01.Rep1",0.927211731794737,"top_23","Fold01.Rep1",0.519040316358025,"top_23","Fold01.Rep1",0.664255401234568
"31","top_24","Fold01.Rep1",0.925944138473643,"top_24","Fold01.Rep1",0.518484760802469,"top_24","Fold01.Rep1",0.660686728395062
"32","top_25","Fold01.Rep1",0.925594457557479,"top_25","Fold01.Rep1",0.518760609567901,"top_25","Fold01.Rep1",0.660686728395062
