"","orig.ident","nCount_RNA","nFeature_RNA","celltype","hUSI","subtype","TSNE_1","TSNE_2"
"Cy71_CD45_D08_S524_comb","SeuratProject",12578.2562173,4660,"Tumor",0.534365619342745,"Cycling",-18.8675370075172,20.6770439039734
"Cy81_FNA_CD45_B01_S301_comb","SeuratProject",16759.8411660999,6386,"Tumor",0.658832671331433,"Transitional",9.39759258556,-41.5229704244819
"Cy80_II_CD45_B07_S883_comb","SeuratProject",16326.7348775999,5913,"Tumor",0.733832430276749,"Senescent",-27.8419921335602,30.0699660489568
"Cy81_Bulk_CD45_B10_S118_comb","SeuratProject",17710.6380229,8365,"Tumor",0.616693062756765,"Transitional",9.37741450789511,-42.2744651841632
"Cy71_CD45_B05_S497_comb","SeuratProject",15328.7638103,4721,"Tumor",0.470012911098915,"Cycling",-20.1094757135978,22.2431318950781
"Cy80_II_CD45_C09_S897_comb","SeuratProject",14875.2384509,6021,"Tumor",0.738443479970786,"Senescent",-29.6397920165999,31.0367401548117
"Cy81_FNA_CD45_E05_S341_comb","SeuratProject",18051.740143,7719,"Tumor",0.703077473977704,"Transitional",10.4589021962478,-41.5559863990335
"Cy81_Bulk_CD45_E10_S154_comb","SeuratProject",16604.5625655,7468,"Tumor",0.507217051282463,"Cycling",8.24767747622138,-42.5196998122158
"Cy80_II_CD45_H07_S955_comb","SeuratProject",12576.7043363,4020,"Tumor",0.555829223505084,"Cycling",-29.2442640972008,28.4950720314385
"Cy81_FNA_CD45_D09_S333_comb","SeuratProject",13414.8921523,5345,"Tumor",0.740751057377123,"Senescent",5.40677746141174,-38.2385905355432
"Cy71_CD45_E12_S540_comb","SeuratProject",12243.860391,4534,"Tumor",0.613485689261487,"Transitional",-18.8023106943919,20.1554567549265
"Cy71_CD45_G02_S554_comb","SeuratProject",11644.959214,4063,"Tumor",0.603073652963669,"Transitional",-18.2368545872174,19.7771246145158
"Cy80_II_CD45_H09_S957_comb","SeuratProject",16889.132707,6570,"Tumor",0.616708386376688,"Transitional",-27.1151243212284,30.0237013365652
"Cy80_II_CD45_B11_S887_comb","SeuratProject",15641.4796503,6395,"Tumor",0.812744421675253,"Senescent",-28.6151408625358,30.2732592382688
"Cy81_Bulk_CD45_E04_S148_comb","SeuratProject",16814.6014482999,7206,"Tumor",0.661868911554868,"Transitional",8.33729730167451,-41.8895643516337
"Cy80_II_CD45_D11_S911_comb","SeuratProject",18245.762325,7098,"Tumor",0.592751282996858,"Transitional",-25.0230432030125,30.2834891643278
"Cy81_FNA_CD45_G10_S370_comb","SeuratProject",12027.161854,2821,"Tumor",0.700514482882061,"Transitional",4.40619282381667,-40.3247103424268
"Cy71_CD45_E11_S539_comb","SeuratProject",13012.745668,4925,"Tumor",0.427356300597229,"Cycling",-20.2964972857956,21.254409989288
"Cy81_FNA_CD45_C09_S321_comb","SeuratProject",18087.4641980001,7589,"Tumor",0.656565216706966,"Transitional",10.3045655344082,-41.8272542373915
"Cy80_II_CD45_G07_S943_comb","SeuratProject",16578.2558545999,5908,"Tumor",0.230295696871269,"Cycling",-21.7253246959228,30.8867017529911
"Cy71_CD45_G08_S560_comb","SeuratProject",13312.5974925,3980,"Tumor",0.424431673285064,"Cycling",-20.7434906768831,21.5368937084283
"Cy71_CD45_F06_S546_comb","SeuratProject",12918.4600053,4719,"Tumor",0.605048221004054,"Transitional",-19.2869984292011,20.8832809516959
"Cy81_Bulk_CD45_D01_S133_comb","SeuratProject",14428.9008567,6992,"Tumor",0.783022374143939,"Senescent",5.27034041665632,-38.5468004992256
"Cy81_Bulk_CD45_D10_S142_comb","SeuratProject",19231.8947645,9554,"Tumor",0.636261247883715,"Transitional",10.6048954045352,-42.1275918905251
"Cy81_FNA_CD45_C05_S317_comb","SeuratProject",14728.6205243,5609,"Tumor",0.729631768580308,"Senescent",5.83874371754426,-38.76516729071
"Cy80_II_CD45_B01_S877_comb","SeuratProject",15725.3928545,6089,"Tumor",0.679194990809778,"Transitional",-27.8040384687814,29.7025182014605
"Cy81_Bulk_CD45_G12_S180_comb","SeuratProject",19028.9915438999,8971,"Tumor",0.624692424165583,"Transitional",10.459970756185,-42.4030148593543
"Cy81_FNA_CD45_F02_S350_comb","SeuratProject",14833.2257755,5755,"Tumor",0.627645980152396,"Transitional",7.15649433598678,-40.8144905763982
"Cy71_CD45_H06_S570_comb","SeuratProject",12688.394991,4796,"Tumor",0.330024774793156,"Cycling",-19.6362031441167,20.9836054645313
"Cy80_II_CD45_B09_S885_comb","SeuratProject",14429.622891,5152,"Tumor",0.646000303774595,"Transitional",-28.7318394036797,29.0238462475421
"Cy81_FNA_CD45_H12_S384_comb","SeuratProject",18778.371641,8769,"Tumor",0.750159933750622,"Senescent",10.5857808380558,-41.9125794807504
"Cy81_Bulk_CD45_E08_S152_comb","SeuratProject",16903.2925778,7437,"Tumor",0.619248949245326,"Transitional",8.56337351149985,-41.6316726158337
"Cy80_II_CD45_G09_S945_comb","SeuratProject",14751.0866406,5214,"Tumor",0.67422566045544,"Transitional",-29.4029727458819,30.5979756497415
"Cy80_II_CD45_D09_S909_comb","SeuratProject",15666.274801,5724,"Tumor",0.726248385980768,"Senescent",-28.2237627135043,29.5041436635845
"Cy71_CD45_D11_S527_comb","SeuratProject",13639.666094,5258,"Tumor",0.577280194384958,"Transitional",-19.1557782470283,21.2645313136488
"Cy81_Bulk_CD45_B09_S117_comb","SeuratProject",18889.8121682,8821,"Tumor",0.621729244242207,"Transitional",10.4595807174664,-42.201979346169
"Cy71_CD45_G09_S561_comb","SeuratProject",12619.514328,4196,"Tumor",0.362307007824015,"Cycling",-19.7068041832535,20.4188822011979
"Cy71_CD45_F11_S551_comb","SeuratProject",9871.56610980001,3731,"Tumor",0.502954479344446,"Cycling",-19.7039626306152,19.1248134091275
"Cy81_FNA_CD45_B10_S310_comb","SeuratProject",12600.301655,4032,"Tumor",0.69091730980131,"Transitional",4.39065265416824,-39.6779783893702
"Cy71_CD45_H10_S574_comb","SeuratProject",13363.9847405,4819,"Tumor",0.485508836944826,"Cycling",-19.2422195383568,21.317867844698
"Cy81_Bulk_CD45_C06_S126_comb","SeuratProject",12553.0339641,6141,"Tumor",0.636507378556413,"Transitional",3.85456882959466,-38.5856840680877
"Cy81_FNA_CD45_H10_S382_comb","SeuratProject",13513.1956624,5753,"Tumor",0.774971565170756,"Senescent",5.83533754001686,-40.6324732049603
"Cy80_II_CD45_B02_S878_comb","SeuratProject",13623.7270343001,5716,"Tumor",0.594827742803684,"Transitional",-29.1279565987018,28.6604644930688
"Cy81_FNA_CD45_B11_S311_comb","SeuratProject",14808.5169355999,5483,"Tumor",0.677669118884281,"Transitional",6.15090377432085,-40.0004440955524
"Cy81_Bulk_CD45_B12_S120_comb","SeuratProject",16083.4339218,7365,"Tumor",0.626856917560531,"Transitional",8.1198584446442,-41.5400265963219
"Cy71_CD45_A10_S490_comb","SeuratProject",12638.6713885,4064,"Tumor",0.484972929383708,"Cycling",-19.172722948584,20.7024863761661
"Cy80_II_CD45_F12_S936_comb","SeuratProject",16425.180448,6278,"Tumor",0.794316545535626,"Senescent",-28.5100088461276,31.3255678183571
"Cy81_Bulk_CD45_B01_S109_comb","SeuratProject",7869.21857150004,4650,"Tumor",0.764944318615127,"Senescent",1.22753950763915,-39.043206267641
"Cy80_II_CD45_B06_S882_comb","SeuratProject",18432.4650565,6993,"Tumor",0.554283199844622,"Cycling",-24.4409816836128,30.4529151531091
"Cy71_CD45_F10_S550_comb","SeuratProject",15173.0212235,5477,"Tumor",0.402197868634436,"Cycling",-20.121970482431,22.1490039104418
"Cy71_CD45_D09_S525_comb","SeuratProject",13198.861593,4853,"Tumor",0.695511991248153,"Transitional",-18.6877063180504,20.7944194456665
"Cy80_II_CD45_F07_S931_comb","SeuratProject",15783.441023,5503,"Tumor",0.704935538595751,"Transitional",-27.8633101458278,29.8416060616872
"Cy71_CD45_E10_S538_comb","SeuratProject",12640.154099,4575,"Tumor",0.65593722120316,"Transitional",-18.6270339361797,20.5583336244118
"Cy80_II_CD45_B12_S888_comb","SeuratProject",13768.447717,4695,"Tumor",0.645964070403193,"Transitional",-28.9526647812257,28.8775589996635
"Cy80_II_CD45_A09_S873_comb","SeuratProject",14788.029034,5498,"Tumor",0.563936951525799,"Transitional",-28.453786255741,29.0856669973847
"Cy80_II_CD45_F11_S935_comb","SeuratProject",16154.5482913,5832,"Tumor",0.611442323414877,"Transitional",-27.8832779721402,29.2473603757941
"Cy81_Bulk_CD45_E03_S147_comb","SeuratProject",16736.4954473001,7458,"Tumor",0.512022109945022,"Cycling",8.59029855520907,-41.6922968566245
"Cy80_II_CD45_D04_S904_comb","SeuratProject",17707.5696239999,6941,"Tumor",0.545752846579198,"Cycling",-25.2335676104007,30.1611447499041
"Cy71_CD45_B12_S504_comb","SeuratProject",10802.025942,2649,"Tumor",0.551636335690284,"Cycling",-18.8899200779164,19.691441430357
"Cy81_Bulk_CD45_A11_S107_comb","SeuratProject",10127.2005167,5110,"Tumor",0.480624381245825,"Cycling",2.05072796626608,-39.2554993736287
"Cy71_CD45_E02_S530_comb","SeuratProject",13085.0281225,4346,"Tumor",0.530047973787723,"Cycling",-18.6067706009168,20.8086150785074
"Cy71_CD45_B03_S495_comb","SeuratProject",12776.9624155,4774,"Tumor",0.599157530016003,"Transitional",-18.3841961909002,20.3845258815029
"Cy81_FNA_CD45_C08_S320_comb","SeuratProject",13794.3481789,5491,"Tumor",0.584256879791135,"Transitional",5.05381405925314,-39.8574515148409
"Cy81_Bulk_CD45_C05_S125_comb","SeuratProject",11480.6064723,5275,"Tumor",0.603130471068578,"Transitional",29.6301255887382,-8.85955221648223
"Cy71_CD45_F01_S541_comb","SeuratProject",11979.5179103,4176,"Tumor",0.501668723139414,"Cycling",-18.802238466187,20.3949923504095
"Cy81_Bulk_CD45_B04_S112_comb","SeuratProject",17102.4122534,8261,"Tumor",0.731392538060256,"Senescent",9.40209296763265,-41.4789913648989
"Cy71_CD45_G05_S557_comb","SeuratProject",14891.6553873,5034,"Tumor",0.387038588504635,"Cycling",-20.1224767898921,22.1013113714293
"Cy81_FNA_CD45_F03_S351_comb","SeuratProject",15901.3982729,5859,"Tumor",0.560509704460048,"Cycling",7.92419061126286,-41.1971202195499
"Cy81_Bulk_CD45_B05_S113_comb","SeuratProject",17465.2896795,8035,"Tumor",0.63001209916566,"Transitional",9.24298837201563,-42.3756460061805
"Cy71_CD45_F07_S547_comb","SeuratProject",12508.184767,4506,"Tumor",0.622666900094186,"Transitional",-18.9662012500404,20.6165482134829
"Cy80_II_CD45_C02_S890_comb","SeuratProject",19211.5720513,8666,"Tumor",0.386935565792464,"Cycling",-23.4458173154368,30.8635448297131
"Cy80_II_CD45_F01_S925_comb","SeuratProject",11539.1081236,4401,"Tumor",0.654167768559215,"Transitional",-29.6538415747583,27.9728830015957
"Cy80_II_CD45_E01_S913_comb","SeuratProject",17075.6981929999,6427,"Tumor",0.363134651123233,"Cycling",-21.7961990839554,31.068046125028
"Cy81_FNA_CD45_B02_S302_comb","SeuratProject",15015.92689,4750,"Tumor",0.56905201716116,"Transitional",7.21026895770426,-40.9043518246405
"Cy81_FNA_CD45_F07_S355_comb","SeuratProject",13308.3885503,5354,"Tumor",0.84092878594379,"Senescent",5.1631869543866,-38.3589022963914
"Cy80_II_CD45_H11_S959_comb","SeuratProject",14153.7697523,4871,"Tumor",0.626727446602552,"Transitional",-28.7733283656343,29.2462876701923
