"","hUSI","condition","Treatment"
"5-aza_1_1",0.948418539477895,"5-aza","5-aza"
"5-aza_2_1",1,"5-aza","5-aza"
"5-aza_3_1",0.79654169195078,"5-aza","5-aza"
"Adria_1_1",0.588515408560178,"Adria","Adria"
"Adria_2_1",0.407591764655485,"Adria","Adria"
"Adria_3_1",0.356567766486715,"Adria","Adria"
"H2O2_1_1",0.77816437973031,"H2O2","H2O2"
"H2O2_2_1",0.501424605323675,"H2O2","H2O2"
"H2O2_3_1",0.510048217927241,"H2O2","H2O2"
"Immortal_1_1",0.434666863178734,"Immortal","Immortal"
"Immortal_2_1",0.064333733178108,"Immortal","Immortal"
"Immortal_3_1",0,"Immortal","Immortal"
