"","hUSI","condition","Treatment"
"OISD0_Rep1",0.0462499909031597,"OISD0","OISD0"
"OISD0_Rep2",0,"OISD0","OISD0"
"OISD0_Rep3",0.0285706438680583,"OISD0","OISD0"
"OISD2_Rep1",0.305140713722531,"OISD2","OISD2"
"OISD2_Rep2",0.302223354685435,"OISD2","OISD2"
"OISD2_Rep3",0.28608690489499,"OISD2","OISD2"
"OISD4_Rep1",0.823437265364969,"OISD4","OISD4"
"OISD4_Rep2",0.814024021899476,"OISD4","OISD4"
"OISD4_Rep3",0.824009368959361,"OISD4","OISD4"
"OISD6_Rep1",1,"OISD6","OISD6"
"OISD6_Rep2",0.996178061164204,"OISD6","OISD6"
"OISD10_Rep1",0.984386102824623,"OISD10","OISD10"
"OISD10_Rep2",0.968542109173072,"OISD10","OISD10"
