Gene,Weight,Derection
CLDN16,0.035764584,Positive
GCKR,0.029497171,Positive
IL1A,0.027906902,Positive
SULT1C2,0.027747131,Positive
OLAH,0.02690981,Positive
CDH10,0.026458232,Positive
ACTBL2,0.024941202,Positive
ARMH1,0.024923833,Positive
SLC6A13,0.024713639,Positive
KRTAP5-1,0.024695775,Positive
MRGPRX3,0.02467566,Positive
TLL2,0.024651764,Positive
KCTD4,0.024312467,Positive
CXCL10,0.024057653,Positive
TMEM40,0.022970914,Positive
CNGA3,0.02254377,Positive
ABCB1,0.022365811,Positive
ATP6V0A4,0.022297271,Positive
SMCO3,0.02215952,Positive
SERPINI1,0.021961241,Positive
CPNE4,0.021863667,Positive
ABCA4,0.021777622,Positive
CXCL3,0.021327108,Positive
MT3,0.021161044,Positive
CYP3A7,0.020996359,Positive
LCE2A,0.020875652,Positive
ZMAT1,0.020852444,Positive
RFPL4A,0.020751988,Positive
KCNN3,0.020691652,Positive
CXCL11,0.020216514,Positive
HLA-DRB1,0.019850639,Positive
OR2I1P,0.019778695,Positive
LRRC10B,0.019760094,Positive
EFHB,0.019622016,Positive
CST2,0.019444581,Positive
MYO3B,0.019365046,Positive
ABCA9,0.019285461,Positive
PTPN22,0.019111772,Positive
USP41,0.019099252,Positive
GJB5,0.018880728,Positive
ALOX5AP,0.018860384,Positive
GAD1,0.018823713,Positive
RRAGD,0.018773807,Positive
LCE2B,0.01855755,Positive
TRPM8,0.018537851,Positive
CD70,0.018518099,Positive
CCL5,0.018459479,Positive
PDIA2,0.01845718,Positive
CNR1,0.018436528,Positive
ABCA12,0.01829935,Positive
LAD1,0.017968309,Positive
NEURL3,0.017943537,Positive
MAFA,0.017850197,Positive
ISM2,0.017838965,Positive
TAC1,0.017681449,Positive
VNN1,0.017656539,Positive
ADGRF1,0.017640876,Positive
CATSPERG,0.017460296,Positive
TLR4,0.017446814,Positive
SPEGNB,0.017384194,Positive
EHF,0.017381195,Positive
DOK7,0.017377983,Positive
SLC4A10,0.017311868,Positive
ZBED2,0.017282505,Positive
SLC30A10,0.017256475,Positive
ZP1,0.017191178,Positive
