"","method.DAS","method.mSS","method.DAS_mSS","method.lassoCS","method.CSS","marker.GLB1","marker.TP53","marker.CDKN1A","marker.CDKN2A","marker.LMNB1","marker.IL1A","marker.RB1","marker.CDK1","marker.CDK4","marker.MKI67","marker.CDKN2B","ssgsea.SenMayo","ssgsea.CellAge","ssgsea.GenAge","ssgsea.ASIG","ssgsea.SASP","ssgsea.AgingAtlas","ssgsea.SenUp","ssgsea.SigRS","hUSI","Condition"
"Allstars.Rep1",0.916666666666667,0.6875,0.785714285714286,0.254166789836364,0.179470316183558,0.768247054910928,0.0588305506724815,2.53893431622055,0.322930847033894,0,0.163014025775898,0.097356936504014,0.0843192472905266,1.21970371589005,0.00361947746987584,0.342090705118923,1.92279036315501,4.91568488553019,6.38256304593324,6.15719408818309,5.55623398759704,5.26361763624492,5.43173803785029,5.11112803044124,0.0864941035715065,"Senescence"
"Allstars.Rep2",0.916666666666667,0.6875,0.785714285714286,0.0728437720000472,0.123143831968033,0.362029407214872,0.0571251464292225,2.3985413111184,0.38589634761367,0,0.140334117153979,0.0423967568536309,0.0395965304504451,1.17115194843463,0.00207072321172217,0.273108553961341,1.80610383790348,4.61102702953904,5.73328508911444,5.73374546385258,5.32374032813952,4.71623371685321,5.12787325909857,4.85613500821573,0.0819963396729151,"Senescence"
"Allstars.Rep3",0.916666666666667,0.6875,0.785714285714286,-0.0189369888897797,0.158383351249849,0.657070559765614,0.059566630379443,2.44511474373212,0.333125410857516,0,0.157821363888949,0.101122529319523,0.0420006537409236,1.19330862094169,0.00235666669507954,0.360903826440385,1.8992266456499,5.16468223029674,6.35366640874542,6.06949522528839,5.42473803219672,5.08265480644797,5.27204703458024,5.10571868841005,0.0913795613076964,"Senescence"
"Extras1.Rep1",0.916666666666667,0.625,0.75,0.414229712233855,0.112850653147375,0.335809286911093,0.1804067077798,1.56209866731721,0.281040419963263,0,0,0.0685684965288939,0.496441093549173,1.32610898815872,0.0528225454617538,0.0294123390095516,1.3094771885351,5.08983967357074,6.4721760328337,6.26093982515559,5.33559835576108,5.01255770687904,5.24663075604329,5.24590018825589,0.0202894897335318,"Growing"
"Extras1.Rep2",0.916666666666667,0.625,0.75,0.395561001214203,0.101575189383052,0.439379710234687,0.186916292242474,1.55483283737704,0.250555610660904,0.00642921672240881,0,0.155041421817095,0.352110078258384,1.19011878454201,0.0551253897031094,0.0295793584254885,1.38535510970547,5.04167881920233,6.49369054798371,6.17796574225163,5.36487878322735,5.035308396791,5.28501531565187,5.2437740298875,0.0300053301118688,"Growing"
"Extras1.Rep3",0.833333333333333,0.625,0.714285714285714,0.427448288980918,0.0916961020245721,0.150015540804847,0.117355109247253,1.23761037250693,0.385162660771472,0,0,0.0142625292658095,0.37936667012128,1.16599360641903,0.0170263182496263,0.0119987026130829,1.08492949081779,4.69156421414765,5.76036443180751,5.69479622693567,5.16176193397465,4.39280160803551,4.75666218831155,4.74365950032067,0.0200219833338558,"Growing"
"Extras2.Rep1",0.833333333333333,0.625,0.714285714285714,0.386822356782658,0.0829616417237733,0.18575707375014,0.0972234849085385,1.47310584142824,0.287178130960649,0.00191840771934862,0,0.0643654221607798,0.579021837422781,1.40818757697815,0.0228709599008196,0.0342585713752881,1.33890271114356,4.88389075671552,6.26184930029971,6.01114292197454,5.12078959371283,4.81195050746562,4.956501496871,5.20406872612979,0.00717203045513805,"Growing"
"Extras2.Rep2",0.916666666666667,0.5625,0.714285714285714,0.372247084719586,0.0691445368693817,0.281936946384363,0.199625218153701,1.43152927119115,0.279495245536886,0.0201793210769773,0,0.0958006526776794,0.603123479992608,1.34005350945003,0.160813892304186,0.0325301271387335,1.33581705224141,4.89757672071878,6.39275759340514,6.11107776617303,5.24337473706719,4.93210247320739,5.14490913996522,5.34030444865097,0.015350961167066,"Growing"
"Extras2.Rep3",0.833333333333333,0.5625,0.678571428571429,0.436557648171467,0.0866565558159032,0.24680304099752,0.152586721905101,1.51745248334476,0.244223884894911,0.0117237260450255,0,0.110387736685441,0.576754739099131,1.31959038126655,0.0409771333870394,0.024007545027298,1.27820408188521,4.97786969019657,6.46153435903444,6.1088669671527,5.27705500930934,4.9494770318288,5.17316217090849,5.16402568062066,0.0194470817143458,"Growing"
"Extras3.Rep1",0.916666666666667,0.625,0.75,0.327704439121648,0.0542771479283214,0.346660575758383,0.111020613798939,1.50800128152896,0.394519528795967,0.00162033728607957,0,0.10837662788655,0.510744258539271,1.576565292922,0.117213675857696,0.0385354593623704,1.46219865091719,5.0924717284631,6.53497874688017,6.24819154667214,5.38562785799465,4.97868707211691,5.26569580945647,5.31515242736473,0.015181300266919,"Growing"
